domainname,choicesequence,choice,choicedesc,choiceobsolete
fragment_kind,98,Metaquartzite fragments,,No
fragment_kind,99,Metasedimentary rock fragments,,No
fragment_kind,100,Metasiltstone fragments,,No
fragment_kind,101,Metavolcanic rock fragments,,No
fragment_kind,102,Mica fragments,A group of monoclinic phyllosilicate minerals with perfect basal cleavage that splits into thin elastic laminae and range from colorless to black. Large crystals of mica are referred to as a mica book.,No
fragment_kind,103,Migmatite fragments,,No
fragment_kind,104,Mixed rock fragments,,No
fragment_kind,105,Mixed calcareous rock fragments,,Yes
fragment_kind,106,Mixed igneous and metamorphic rock fragments,,Yes
fragment_kind,107,"Mixed igneous, metamorphic, and sedimentary rock fragments",,Yes
fragment_kind,108,Mixed igneous and sedimentary rock fragments,,Yes
fragment_kind,109,Mixed metamorphic and sedimentary rock fragments,,Yes
fragment_kind,110,Mixed noncalcareous rock fragments,,Yes
fragment_kind,111,Monzonite fragments,,No
fragment_kind,112,Mossy material,,Yes
fragment_kind,113,Mudstone fragments,,No
fragment_kind,114,Mylonite fragments,,No
fragment_kind,115,Novaculite,"A dense, extremely finely grained, even-textured, siliceous, sedimentary rock similar to chert.  It is hard, white to grayish-black in color, translucent on thin edges, has a dull to waxy luster, and displays smooth conchoidal fracture when broken.  

Novaculite principally occurs in the Marathon Uplift of Texas and Ouachita Mountains of Arkansas and Oklahoma where it forms erosion resistant ridges. Novaculite appears to form from chert recrystallization with microcrystalline quartz dominant over cryptocrystalline chalcedony.  At the Ouachita Mountains type occurrence, novaculite formed by low-grade, thermal metamorphism of bedded chert.  Novaculite is commercially quarried as a whetstone or oilstone.  Compare - chert. GG & SW",No
fragment_kind,116,Obsidian fragments,,No
fragment_kind,117,Organic material,,Yes
fragment_kind,118,Orthoquartzite fragments,,No
fragment_kind,119,Ortstein fragments,,No
fragment_kind,120,Oxide protected rock,,Yes
fragment_kind,121,Pahoehoe lava fragments,"A type of basaltic lava (material) with a characteristically smooth, billowy or rope-like surface and vesicular interior.  Compare -  `a`a lava, block lava, pillow lava.",No
fragment_kind,122,Peridotite fragments,,No
fragment_kind,123,Petrocalcic fragments,,No
fragment_kind,124,Petroferric fragments,,No
fragment_kind,125,Petrogypsic fragments,,No
fragment_kind,126,Phyllite fragments,,No
fragment_kind,127,Pillow lava fragments,"A general term for lava displaying pillow structure (discontinuous, close-fitting, bun-shaped or ellipsoidal masses, generally < 1 m in diameter); considered to have formed in a subaqueous environment; such lava is usually basaltic or andesitic.  Compare -  `a`a lava, block lava, pahoehoe lava.",No
fragment_kind,128,Plinthite nodules,,No
fragment_kind,129,Porcellanite fragments,,No
fragment_kind,130,Pumice fragments,"A light-colored, vesicular, glassy rock commonly having the composition of rhyolite.  It commonly has a specific gravity of < 1.0 and is thereby sufficiently buoyant to float on water.",No
fragment_kind,131,Pyroclastic rock fragments,,No
fragment_kind,132,Pyroclastic fragments,"Fragmental materials produced by usually explosive, aerial ejection of clastic particles from a volcanic vent.  Such materials may accumulate on land or under water.",Yes
fragment_kind,133,Pyroxenite fragments,,No
fragment_kind,134,Quartz fragments,,No
fragment_kind,135,Quartz-diorite fragments,,No
fragment_kind,136,Quartzite fragments,,No
fragment_kind,137,Quartz-monzonite fragments,,No
fragment_kind,138,Rhyolite fragments,,No
fragment_kind,139,Calcareous sandstone fragments,,No
fragment_kind,140,Glauconitic sandstone fragments,,No
fragment_kind,141,Noncalcareous sandstone fragments,,Yes
fragment_kind,142,Sandstone fragments,Sedimentary rock containing dominantly sand-size clastic particles.,No
fragment_kind,143,Sandstone and shale fragments,,Yes
fragment_kind,144,Sandstone and siltstone fragments,,Yes
fragment_kind,145,Saprolite,,Yes
fragment_kind,146,Acidic schist fragments,,Yes
fragment_kind,147,Basic schist fragments,,Yes
fragment_kind,148,Biotite schist fragments,"A strongly foliated crystalline rock formed by dynamic metamorphism that has well-developed parallelism of more than 50 percent of the minerals present, primarily biotite.",No
fragment_kind,149,Graphitic schist fragments,,No
fragment_kind,150,Mica schist fragments,,No
fragment_kind,151,Muscovite schist fragments,"A strongly foliated crystalline rock formed by dynamic metamorphism that has well-developed parallelism of more than 50 percent of the minerals present, primarily muscovite.",No
fragment_kind,152,Sericite schist,"A strongly foliated crystalline rock formed by dynamic metamorphism that has well-developed parallelism of more than 50 percent of the minerals present, primarily sericite.  A fine-grained muscovite",No
fragment_kind,153,Schist fragments,,No
fragment_kind,154,Scoria fragments,"Vesicular, cindery crust or bomb-sized fragments of such material on the surface of andesitic or basaltic lava, the vesicular nature of which is due to the escape of volcanic gases before solidification; it is usually heavier, darker, and more crystalline than pumice.  Synonym - cinder.",No
fragment_kind,155,Sedimentary rock fragments,"A consolidated deposit of clastic particles, chemical precipitates, and organic remains accumulated at or near the surface of the earth under ""normal"" low temperature and pressure conditions.  Sedimentary rocks include consolidated equivalents of alluvium, colluvium, drift, and eolian, lacustrine, marine deposits; e.g., sandstone, siltstone, mudstone, clay-stone, shale, conglomerate, limestone, dolomite, coal, etc.",No
fragment_kind,156,Serpentinite fragments,,No
fragment_kind,157,Acid shale fragments,,No
fragment_kind,158,Calcareous shale fragments,,No
fragment_kind,159,Clayey shale fragments,,No
fragment_kind,160,Noncalcareous shale fragments,,Yes
fragment_kind,161,Shale fragments,"Sedimentary rock formed by induration of a clay, silty clay, or silty clay loam deposit and having the tendency to split into thin layers, i.e., fissility.",No
fragment_kind,162,Shale-siltstone fragments,,Yes
fragment_kind,163,Shell fragments,,No
fragment_kind,164,Silica concretions,,No
fragment_kind,165,Siltite fragments,"A compact, weakly metamorphosed rock formed by alteration of siltstone, mudstone, or silty shale. Siltite is more indurated than mudstone or shale and lacks either shale fissility or slate-like cleavage. Siltite differs from argillite in that silt-size grains (0.002 to 0.062 mm) rather than clay-size (<0.002 mm) dominate the matrix.  Siltite differs from siltstone, mudstone, or shale in that it exhibits very low to low grade metamorphic or diagenetic layer silicate and feldspar alteration to sericite, chlorite, and albite (subgreenschist to greenschist metamorphic facies) (Maxwell, 1973; Kidder, 1987).",No
fragment_kind,166,Calcareous siltstone fragments,,No
fragment_kind,167,Noncalcareous siltstone fragments,,Yes
fragment_kind,168,Siltstone fragments,Sedimentary rock containing dominantly silt-size clastic particles.,No
fragment_kind,169,Slate fragments,,No
fragment_kind,170,Sulfidic slate fragments,,No
fragment_kind,171,Soapstone fragments,,No
fragment_kind,172,Syenite fragments,,No
fragment_kind,173,Syenodiorite fragments,,No
fragment_kind,174,Tachylite fragments,,No
fragment_kind,175,Tonalite fragments,,No
fragment_kind,176,Trachyte fragments,,No
fragment_kind,177,Travertine fragments,,No
fragment_kind,178,Tripoli fragments,"A light-colored, porous, friable, siliceous (largely chalcedonic) sedimentary rock, which occurs in powdery or earthy masses that result from the weathering of siliceous limestone.  It has a harsh, rough feel and is used to polish metals and stones.",No
fragment_kind,179,Tufa fragments,,No
fragment_kind,180,Tuff breccia fragments,,No
fragment_kind,181,Acidic tuff fragments,,No
fragment_kind,182,Basic tuff fragments,,No
fragment_kind,183,Tuff fragments,A compacted deposit that is 50 percent or more volcanic ash and dust,No
fragment_kind,184,Welded tuff fragments,,No
fragment_kind,185,Ultramafic rock fragments,,No
fragment_kind,186,Volcanic bombs,,No
fragment_kind,187,Acidic volcanic breccia fragments,,No
fragment_kind,188,Basic volcanic breccia fragments,,No
fragment_kind,189,Volcanic breccia fragments,,No
fragment_kind,190,Volcanic rock fragments,,No
fragment_kind,191,Wood fragments,,No
fragment_roundness,1,Very angular,"Strongly developed faces with very sharp, broken edges.",No
fragment_roundness,2,Angular,Strongly developed faces with sharp edges (SSM).,No
fragment_roundness,3,Subangular,Detectable flat faces with slightly-rounded corners.,No
fragment_roundness,4,Subrounded,Detectable flat faces with well-rounded corners (SSM).,No
fragment_roundness,5,Rounded,Flat faces absent or nearly absent with all corners rounded (SSM).,No
fragment_roundness,6,Well rounded,Flat faces absent with all corners rounded.,No
fragment_shape,1,Flat,,No
fragment_shape,2,Nonflat,,No
geomor_pos_flat,1,Flat,"default choice, official choices to be determined later",Yes
geomor_pos_flat,2,Dip,"A geomorphic component (characteristic piece) of flat plains (e.g., lake plain, low coastal plain, low-relief till plain) consisting of a shallow and typically closed depression that tends to be an area of focused groundwater recharge but not a permanent water body and that lies slightly lower and is wetter than the adjacent talf, and favors the accumulation of fine sediments and organic materials.  SW",No
geomor_pos_flat,3,Rise,"A geomorphic component of flat plains (e.g., lake plain, low coastal plain, low-gradient till plain) consisting of a slightly elevated but low, broad area with low slope gradients (e.g. 1-3 % slopes); typically a microfeature but can be fairly extensive.  Commonly soils on a rise are better drained than those on the surrounding talf.  Compare - talf.  SW",No
geomor_pos_flat,4,Talf,"A geomorphic component of flat plains (e.g., lake plain, low coastal plain, low-gradient till plain) consisting of an essentially flat (e.g. 0-1 % slopes) and broad area dominated by closed depressions and a non-integrated or poorly integrated drainage system.  Precipitation tends to pond locally and lateral transport is slow both above and below ground, which favors the accumulation of soil organic matter and a retention of fine earth sediments; better drained soils are commonly adjacent to drainageways.  Compare - rise.  SW",No
geomor_pos_hill,1,Interfluve,An elevated area between two drainageways that sheds water to those drainageways.,No
geomor_pos_hill,2,Head Slope,The concave surface at the head of a drainageway where the flow of water converges downward toward the center and contour lines form concave curves.,No
geomor_pos_hill,3,Nose Slope,"The projecting end of an interfluve, where contour lines connecting the opposing side slopes form convex curves around the projecting end and lines perpendicular to the contours diverge downward.  Overland flow of water is divergent.",No
geomor_pos_hill,4,Side Slope,The slope bounding a drainageway and lying between the drainageway and the adjacent interfluve.  It is generally linear along the slope width and overland flow is parallel down the slope.,No
geomor_pos_hill,5,Base Slope,"A geomorphic component of hills consisting of the concave to linear slope (perpendicular to the contour) which, regardless of the lateral shape is an area that forms an apron or wedge at the bottom of a hillside dominated by colluvial and slope wash processes and sediments (e.g., colluvium and slope alluvium).  Distal base slope sediments commonly grade to, or interfinger with, alluvial fills, or gradually thin to form pedisediment over residuum.  Compare - head slope, side slope, nose slope, interfluve, free face.  SW",No
geomor_pos_hill,6,Crest,"A geomorphic component of hills consisting of the convex slopes (perpendicular to the contour) that form the narrow, roughly linear top area of a hill, ridge, or other upland where shoulders have converged to the extent that little or no summit remains; dominated by erosion, slope wash and mass movement processes and sediments (e.g., slope alluvium, creep).  Commonly, soils on crests are more similar to those on side slopes than to soils on adjacent interfluves.  Compare - interfluve, head slope, side slope, nose slope.  SW",No
geomor_pos_hill,7,Free face,The part of a hillside or mountainside consisting of an outcrop of bare rock (scarp or cliff) that sheds colluvium to slopes below and commonly stands more steeply than the angle of repose of the colluvial slope (e.g. talus slope) immediately below. SW &  GG,No
geomor_pos_hill,8,Crested hills,,Yes
geomor_pos_mountain,1,Mountaintop,"roughly analogous to the crest or summit); Reference:  Schoeneberger, P.J. and Wysocki, D.A. 2013. (personal communication), National Soil Survey Center, NRCS, Lincoln, NE.",No
geomor_pos_mountain,2,Mountainflank,"the long slope along the sides of mountains which can be further subdivided into three portions based on the relative slope location: upper third-, middle third-, or lower third mountainflank;  Reference:   Schoeneberger, P.J. and Wysocki, D.A. 2013. (personal communication), National Soil Survey Center, NRCS, Lincoln, NE.",No
geomor_pos_mountain,3,Mountainbase,"colluvium / slope alluvium apron at the bottom of the mountain;  Reference:   Schoeneberger, P.J. and Wysocki, D.A. 2013. (personal communication), National Soil Survey Center, NRCS, Lincoln, NE.",No
geomor_pos_mountain,4,Upper third of mountainflank,"The upper third of the long slope along mountainflank.  Reference:   Schoeneberger, P.J. and Wysocki, D.A. 2013. (personal communication), National Soil Survey Center, NRCS, Lincoln, NE.",No
geomor_pos_mountain,5,Center third of mountainflank,"The middle third of the long slope along mountainflank.  Reference:   Schoeneberger, P.J. and Wysocki, D.A. 2013. (personal communication), National Soil Survey Center, NRCS, Lincoln, NE.",No
geomor_pos_mountain,6,Lower third of mountainflank,"The lower third of the long slope along mountainflank.  Reference:   Schoeneberger, P.J. and Wysocki, D.A. 2013. (personal communication), National Soil Survey Center, NRCS, Lincoln, NE.",No
geomor_pos_mountain,7,Free face,"The part of a hillside or mountainside consisting of an outcrop of bare rock (scarp or cliff) that sheds colluvium to slopes below and commonly stands more steeply than the angle of repose of the colluvial slope (e.g. talus slope) immediately below. References:   Schoeneberger, P.J. and Wysocki, D.A. 2013. (personal communication), National Soil Survey Center, NRCS, Lincoln, NE. and Neuendorf, K.K.E., Mehl Jr., J.P., and Jackson, J.A. (ed.) 2005. Glossary of geology, 5th Ed. American Geological Institute, Alexandria, VA. 779 p.",No
geomor_pos_terrace,1,Riser,"The vertical or steeply sloping surface, commonly one of a series, of natural steplike landforms, as those of a glacial stairway or of successive stream terraces.",No
geomor_pos_terrace,2,Tread,"The flat or gently sloping surface of natural step-like landforms, commonly one of a series, such as successive stream terraces.",No
hillslope_profile,1,Summit,The topographically highest hillslope position of a hillslope profile and exhibiting a nearly level (planar or only slightly convex) surface.,No
hillslope_profile,2,Shoulder,"The hillslope position that forms the uppermost inclined surface near the top of a hillslope.  If present, it comprises the transition zone from backslope to summit.  The surface is dominantly convex in profile and erosional in origin.",No
hillslope_profile,3,Backslope,"The hillslope profile position that forms the steepest and generally linear, middle portion of the slope.  In profile, backslopes are commonly bounded by a convex shoulder above and a concave footslope below.  They may or may not include cliff segments (i.e. free faces).  Backslopes are commonly erosional forms produced by mass movement, colluvial action, and running water.",No
hillslope_profile,4,Footslope,"The hillslope position that forms the inner, gently inclined surface at the base of a hillslope.  In profile, footslopes are commonly concave.  It is a transition zone between upslope sites of erosion and transport (shoulder, backslope) and downslope sites of deposition (toeslope).",No
hillslope_profile,5,Toeslope,"The hillslope position that forms the gently inclined surface at the base of a hillslope.  Toeslopes in profile are commonly gentle and linear, and are constructional surfaces forming the lower part of a hill-slope continuum that grades to valley or closed-depression floors.",No
horizon_aggregation_method,1,Weighted Average,"The value derived for the corresponding component is the sum of A * B for each horizon or layer where A, the value of the attribute in question, is not null and B is each horizon or layers percent of the total depth range that is evaluated.  The total depth range evaluated is based on the depth range specified at runtime but excludes horizons or layers where the attribute value is null, and excludes any part of a horizon or layer outside of the specified depth range.",No
horizon_aggregation_method,2,Weighted Sum,"The value derived for the corresponding component is the sum of A * B for each horizon or layer where A, the value of the attribute in question, is not null and B is the vertical linear extent of each horizon or layer that is evaluated.  The total vertical linear extent evaluated is based on the depth range specified at runtime but excludes horizons or layers where the attribute value is null, and excludes any part of a horizon or layer outside of the specified depth range.",No
horz_desgn_letter_suffix,1,a,"Highly decomposed organic matter. This symbol is used with O to indicate the most highly decomposed organic materials, which have a fiber content of less than 17 percent (by volume) after rubbing.",No
horz_desgn_letter_suffix,2,b,"Buried genetic horizon.  This symbol is used in mineral soils to indicate identifiable buried horizons with major genetic features that were developed before burial. Genetic horizons may or may not have formed in the overlying material, which may be either like or unlike the assumed parent material of the buried soil. This symbol is not used in organic soils, nor is it used to separate an organic layer from a mineral layer.",No
horz_desgn_letter_suffix,3,c,"Concretions or nodules. This symbol indicates a significant accumulation of concretions or nodules. Cementation is required. The cementing agent commonly is iron, aluminum, manganese, or titanium. It cannot be silica, dolomite, calcite, or more soluble salts.",No
horz_desgn_letter_suffix,4,ca,An accumulation of carbonates.,Yes
horz_desgn_letter_suffix,5,co,"Coprogenous Earth.  This symbol, used only with L, indicates a limnic layer of coprogenous earth (or sedimentary peat).",No
horz_desgn_letter_suffix,6,d,"Physical root restriction.  This symbol indicates noncemented, root-restricting layers in naturally occurring or human-made sediments or materials. Examples are dense basal till, plowpans, and other mechanically compacted zones.",No
horz_desgn_letter_suffix,7,di,"Diatomaceous earth.  This symbol, used only with L, indicates a limnic layer of diatomaceous earth.",No
horz_desgn_letter_suffix,8,e,Organic material of intermediate decomposition.  This symbol is used with O to indicate organic materials of intermediate decomposition. The fiber content of these materials is 17 to 40 percent (by volume) after rubbing.,No
horz_desgn_letter_suffix,9,f,Frozen soil or water.  This symbol indicates that a horizon or layer contains permanent ice. The symbol is not used for seasonally frozen layers or for dry permafrost.,No
horz_desgn_letter_suffix,10,ff,"Dry permafrost.  Used in layers or horizons that are colder than 0 degrees C, but do not contain ice.  It is not used for layers or horizons that have seasonal temperatures below 0 degrees C.  The f suffix is used for layers or horizons that contain permanent ice.",No
horz_desgn_letter_suffix,11,g,"Strong gleying.  This symbol indicates either that iron has been reduced and removed during soil formation or that saturation with stagnant water has preserved it in a reduced state. Most of the affected layers have chroma of 2 or less, and many have redox concentrations. The low chroma can represent either the color of reduced iron or the color of uncoated sand and silt particles from which iron has been removed. The symbol g is not used for materials of low chroma that have no history of wetness, such as some shales or E horizons. If g is used with B, pedogenic change in addition to gleying is implied. If no other pedogenic change besides gleying has taken place, the horizon is designated Cg.",No
horz_desgn_letter_suffix,12,h,"Illuvial accumulation of organic matter.  This symbol is used with B to indicate the accumulation of illuvial, amorphous, dispersible complexes of organic matter and sesquioxides if the sesquioxide component is dominated by aluminum but is present only in very small quantities. The organo-sesquioxide material coats sand and silt particles. In some horizons these coatings have coalesced, filled pores, and cemented the horizon. The symbol h is also used in combination with s as ""Bhs"" if the amount of the sesquioxide component is significant but the color value and chroma, moist, of the horizon are 3 or less.",No
horz_desgn_letter_suffix,13,i,Slightly decomposed organic material.  This symbol is used with O to indicate the least decomposed of the organic materials. The fiber content of these materials is 40 percent or more (by volume) after rubbing.,No
horz_desgn_letter_suffix,14,j,"Indicates an accumulation of jarosite.  Jarosite is a potassium (ferric) iron hydroxy sulfate mineral (KFe3(SO4)2(OH)6) that is commonly an alteration product of pyrite that has been exposed to an oxidizing environment.  Jarosite has hue of 2.5Y or yellower and normally has chroma of 6 or more, although chroma as low as 3 or 4 have been reported.  It forms in preference to iron (hydr)oxides in active acid sulfate soils at pH of 3.5 or less and can be stable in post-active acid sulfate soils for long periods of time at higher pH.",No
horz_desgn_letter_suffix,15,jj,"Evidence of cyroturbation.  Evidence of cryoturbation includes irregular and broken horizon boundaries, sorted rock fragments, and organic soil materials occurring as bodies and broken layers within and/or between mineral soil layers. The organic bodies and layers are most commonly at the contact between the active layer and the permafrost.",No
horz_desgn_letter_suffix,16,k,"Accumulation of secondary carbonates. This symbol indicates an accumulation of visible pedogenic calcium carbonate (less than 50 percent, by volume). Carbonate accumulations occur as carbonate filaments, coatings, masses, nodules, disseminated carbonate, or other forms.",No
horz_desgn_letter_suffix,17,kk,"Engulfment of horizon by secondary carbonates. This symbol indicates major accumulations of pedogenic calcium carbonate. The suffix kk is used when the soil fabric is plugged with fine grained pedogenic carbonate (50 percent or more, by volume) that occurs as an essentially continuous medium. The suffix corresponds to the stage III plugged horizon or higher of the carbonate morphogenetic stages (Gile et al., 1966).",No
horz_desgn_letter_suffix,18,m,"Cementation or induration.  This symbol indicates continuous or nearly continuous cementation. It is used only for horizons that are more than 90 percent cemented, although they may be fractured. The cemented layer is physically root-restrictive. The predominant cementing agent (or the two dominant ones) may be indicated by adding defined letter suffixes, singly or in pairs. The horizon suffix kkm (and less commonly km) indicates cementation by carbonates; qm, cementation by silica; sm, cementation by iron; yym, cementation by gypsum; kqm, cementation by carbonates and silica; and zm, cementation by salts more soluble than gypsum.",No
horz_desgn_letter_suffix,19,ma,"Marl.  This symbol, used only with L, indicates a limnic layer of marl.",No
horz_desgn_letter_suffix,20,n,Accumulation of sodium.  This symbol indicates an accumulation of exchangeable sodium.,No
horz_desgn_letter_suffix,21,o,This symbol indicates a residual accumulation of sesquioxides.,No
horz_desgn_letter_suffix,22,p,"Tillage or other disturbance.  This symbol indicates a disturbance of the surface layer by mechanical means, pasturing, or similar uses.  A disturbed organic horizon is designated Op.  A disturbed mineral horizon is designated Ap even though it is clearly a former E, B, or C horizon.",No
horz_desgn_letter_suffix,23,q,Accumulation of silica.  This symbol indicates an accumulation of secondary silica.,No
horz_desgn_letter_suffix,24,r,"Weathered or soft bedrock.  This symbol is used with C to indicate layers of bedrock that are moderately cemented or less cemented. Examples are weathered igneous rock and partly consolidated sandstone, siltstone, or shale. The excavation difficulty is low to high.",No
horz_desgn_letter_suffix,25,s,"Illuvial accumulation of sesquioxides and organic matter.  This symbol is used with B to indicate an accumulation of illuvial, amorphous, dispersible complexes of organic matter and sesquioxides if both the organic matter and sesquioxide components are significant and if either the color value or chroma, moist, of the horizon is 4 or more. The symbol is also used in combination with h as ""Bhs"" if both the organic matter and sesquioxide components are significant and if the color value and chroma, moist, are 3 or less.",No
horz_desgn_letter_suffix,26,se,"This symbol indicates the presence of sulfides in mineral or organic horizons. Horizons with sulfides typically have dark colors (e.g. value  4, chroma  2). These horizons typically form in soils associated with coastal environments that are permanently saturated or submerged (i.e., tidal marshes or estuaries). Soil materials which have sulfidization actively occurring emanate hydrogen sulfide gas which is detectable by its odor (Fanning and Fanning, 1989, or Fanning et al., 2002). Sulfides may also occur in upland environments that have a source of sulfur to form sulfides. Soils in such environments are often of geologic origin and may not produce a hydrogen sulfide odor. Examples include soils formed in parent materials derived from coal deposits such as lignite or soils formed in coastal plain deposits such as glauconite that have not been oxidized because of thick layers of overburden.",No
horz_desgn_letter_suffix,27,ss,"Presence of slickensides.  This symbol indicates the presence of slickensides.  Slickensides result directly from the swelling of clay minerals and shear failure, commonly at angles of 20 to 60 degrees above horizontal.  They are indicators that other vertic characteristics, such as wedge-shaped peds and surface cracks, may be present.",No
horz_desgn_letter_suffix,28,t,"Accumulation of silicate clay.  This symbol indicates an accumulation of silicate clay that has either formed and subsequently been translocated within the horizon or has been moved into the horizon by illuviation, or both.  At least some part of the horizon should show evidence of clay accumulation either as coatings on surfaces of peds or in pores, or as lamellae or as bridges between mineral grains.",No
horz_desgn_letter_suffix,29,u,"Presence of human-manufactured materials (artifacts). This symbol indicates the presence of manufactured artifacts that have been created or modified by humans, usually for a practical purpose in habitation, manufacturing, excavation, or construction activities. Examples of artifacts are processed wood products, liquid petroleum products, coal combustion by-products, asphalt, fibers and fabrics, bricks, cinder blocks, concrete, plastic, glass, rubber, paper, cardboard, iron and steel, altered metals and minerals, sanitary and medical waste, garbage, and landfill waste.",No
horz_desgn_letter_suffix,30,v,"Plinthite.  This symbol indicates the presence of iron-rich, humus-poor, reddish material that is firm or very firm when moist and is less than strongly cemented. It hardens irreversibly when exposed to the atmosphere and to repeated wetting and drying.",No
horz_desgn_letter_suffix,31,w,"Development of color or structure.  This symbol is used only with B to indicate the development of color or structure, or both, with little or no apparent illuvial accumulation of material.  It should not be used to indicate a transitional horizon.",No
horz_desgn_letter_suffix,32,x,"Fragipan character.  This symbol indicates a genetically developed layer that has a combination of firmness, brittleness, and commonly a higher bulk density than adjacent layers.  Some part of the layer is physically root-restrictive.",No
horz_desgn_letter_suffix,33,y,Accumulation of gypsum.  This symbol indicates a gypsum accumulation.  The suffix y is used when the horizon fabric is dominated by soil particles or minerals other than gypsum. Gypsum is present in amounts that do not significantly obscure or disrupt other features of the horizon.,No
horz_desgn_letter_suffix,34,yy,"Dominance of horizon by gypsum.  This symbol indicates a horizon that is dominated by the presence of gypsum. The gypsum content may be due to an accumulation of secondary gypsum, the transformation of primary gypsum inherited from parent material, or other processes. Suffix yy is used when the horizon fabric has such an abundance of gypsum (generally 50 percent or more, by volume) that pedogenic and/or lithologic features are obscured or disrupted by growth of gypsum crystals. Colors associated with horizons that use suffix yy are typically highly whitened with value of 7 through 9.5 and chroma of 2 or less.",No
horz_desgn_letter_suffix,35,z,Accumulation of salts more soluble than gypsum.  This symbol indicates an accumulation of salts that are more soluble than gypsum.,No
horz_desgn_master,1,O,"Layers dominated by organic material.  Some are saturated with water for long periods, or were once saturated but are now artificially drained; others have never been saturated.",No
horz_desgn_master,2,A,"Mineral horizons which have formed at the surface or below an O horizon; they exhibit obliteration of all or much of the original rock structure and show one or both of the following: (1) an accumulation of humified organic closely mixed with the mineral fraction and not dominated by properties characteristic of E or B horizons, or (2) properties resulting from cultivation, pasturing, or similar kinds of disturbance.",No
horz_desgn_master,3,E,"Mineral horizons in which the main feature is loss of silicate clay, iron, or aluminum, or some combination of these, leaving a concentration of sand and silt particles.  These horizons exhibit obliteration of all or much of the original rock structure.",No
horz_desgn_master,4,B,"Horizons which have formed below an A, E, or O horizon. They are dominated by the obliteration of all or much of the original rock structure and show one or more of the following:

1. Illuvial concentration of silicate clay, iron, aluminum, humus, carbonates, gypsum, or silica, alone or in combination;
2. Evidence of the removal or addition of carbonates;
3. Residual concentration of oxides;
4. Coatings of sesquioxides that make the horizon conspicuously lower in color value, higher in chroma, or redder in hue, without apparent illuviation of iron; 
5. Alteration that forms silicate clay or liberates oxides, or both, and that forms a granular, blocky, or prismatic structure if volume changes accompany changes in moisture content; 
6. Brittleness; or
7. Strong gleying.",No
horz_desgn_master,5,C,"Horizons or layers, excluding hard bedrock, that are little affected by pedogenic processes and lack the properties of O, A, E, or B horizons.  Most are mineral layers.  The material of C layers may be either like or unlike the material from which the solum has presumably formed.  The C horizon may have been modified, even if there is no evidence of pedogenesis.",No
horz_desgn_master,6,R,Strongly cemented to indurated bedrock.,No
horz_desgn_master,7,AB,"Horizons dominated by properties of one master horizon but having subordinate properties of another. The first of these symbols indicates that the properties of the horizon so designated dominate the transitional horizon.  An AB horizon, for example, has characteristics of both an overlying A horizon and an underlying B horizon, but it is more like the A than like the B.",No
horz_desgn_master,8,AE,"Horizons dominated by properties of one master horizon but having subordinate properties of another. The first of these symbols indicates that the properties of the horizon so designated dominate the transitional horizon.  An AB horizon, for example, has characteristics of both an overlying A horizon and an underlying B horizon, but it is more like the A than like the B.",No
horz_desgn_master,9,AC,"Horizons dominated by properties of one master horizon but having subordinate properties of another. The first of these symbols indicates that the properties of the horizon so designated dominate the transitional horizon.  An AB horizon, for example, has characteristics of both an overlying A horizon and an underlying B horizon, but it is more like the A than like the B.",No
horz_desgn_master,10,EA,"Horizons dominated by properties of one master horizon but having subordinate properties of another. The first of these symbols indicates that the properties of the horizon so designated dominate the transitional horizon.  An AB horizon, for example, has characteristics of both an overlying A horizon and an underlying B horizon, but it is more like the A than like the B.",No
horz_desgn_master,11,EB,"Horizons dominated by properties of one master horizon but having subordinate properties of another. The first of these symbols indicates that the properties of the horizon so designated dominate the transitional horizon.  An AB horizon, for example, has characteristics of both an overlying A horizon and an underlying B horizon, but it is more like the A than like the B.",No
horz_desgn_master,12,BA,"Horizons dominated by properties of one master horizon but having subordinate properties of another. The first of these symbols indicates that the properties of the horizon so designated dominate the transitional horizon.  An AB horizon, for example, has characteristics of both an overlying A horizon and an underlying B horizon, but it is more like the A than like the B.",No
horz_desgn_master,13,BE,"Horizons dominated by properties of one master horizon but having subordinate properties of another. The first of these symbols indicates that the properties of the horizon so designated dominate the transitional horizon.  An AB horizon, for example, has characteristics of both an overlying A horizon and an underlying B horizon, but it is more like the A than like the B.",No
horz_desgn_master,14,BC,"Horizons dominated by properties of one master horizon but having subordinate properties of another. The first of these symbols indicates that the properties of the horizon so designated dominate the transitional horizon.  An AB horizon, for example, has characteristics of both an overlying A horizon and an underlying B horizon, but it is more like the A than like the B.",No
horz_desgn_master,15,CA,"Horizons dominated by properties of one master horizon but having subordinate properties of another. The first of these symbols indicates that the properties of the horizon so designated dominate the transitional horizon.  An AB horizon, for example, has characteristics of both an overlying A horizon and an underlying B horizon, but it is more like the A than like the B.",No
horz_desgn_master,16,CB,"Horizons dominated by properties of one master horizon but having subordinate properties of another. The first of these symbols indicates that the properties of the horizon so designated dominate the transitional horizon.  An AB horizon, for example, has characteristics of both an overlying A horizon and an underlying B horizon, but it is more like the A than like the B.",No
horz_desgn_master,17,A/E,Horizons with two distinct parts that have recognizable properties of the two kinds of master horizons indicated by the capital letters. Most of the individual parts of one horizon component are surrounded by the other.,No
horz_desgn_master,18,A/B,Horizons with two distinct parts that have recognizable properties of the two kinds of master horizons indicated by the capital letters. Most of the individual parts of one horizon component are surrounded by the other.,No
