tabphyname,colsequence,colphyname,collogname,collabel,logicaldatatype,notnull,fieldsize,precision,minimum,maximum,uom,domainname,coldesc
chstruct,7,chstructkey,chor_structure_key,Chorizon Structure Key,String,Yes,30,NA,NA,NA,,,A non-connotative string of characters used to uniquely identify a record in the Horizon Structure table.
chstructgrp,1,structgrpname,structure_group_name,Structure,String,No,100,NA,NA,NA,,,The narrative description of the soil structure within a soil horizon.
chstructgrp,2,rvindicator,rv_indicator,RV?,Boolean,Yes,3,NA,NA,NA,,,A yes/no field that indicates if a soil structure is representative for the horizon.
chstructgrp,3,chkey,chorizon_key,Chorizon Key,String,Yes,30,NA,NA,NA,,,The unique identifier of a record in the Horizon table.  Use this column to join the Horizon Structure Group table to the Horizon table.
chstructgrp,4,chstructgrpkey,chor_structure_group_key,Chorizon Structure Group Key,String,Yes,30,NA,NA,NA,,,A non-connotative string of characters used to uniquely identify a record in the Horizon Structure Group table.
chtext,1,recdate,record_date,Date,Date/Time,No,NA,NA,NA,NA,,,"The date associated with a particular record, expressed as month, day, year -- xx/xx/xxxx."
chtext,2,chorizontextkind,chorizon_text_kind,Kind,Choice,No,254,NA,NA,NA,,chorizon_text_kind,"A text entry is identified by its kind, category, and subcategory.  Kind is the highest division of classification.  Text kind provides a grouping of text entries according to their subject matter."
chtext,3,textcat,text_category,Category,String,No,20,NA,NA,NA,,,"A text entry is identified by its kind, category, and subcategory.  Category is a subdivision of kind.  ""Agr"" and ""Soi"" are two categories for the text kind ""Nontechnical Description""."
chtext,4,textsubcat,text_subcategory,Subcategory,String,No,20,NA,NA,NA,,,"A text entry is identified by its kind, category, and subcategory.  Subcategory is a subdivision of category.  For text kind ""Nontechnical"" description and text category ""Agr"", subcategory would correspond to the SSSD field ""desnum""."
chtext,5,text,text,Text,Vtext,No,NA,NA,NA,NA,,,"The actual narrative text portion of a text entry.  The other parts of a text entry are its identifiers: kind, category and subcategory."
chtext,6,chkey,chorizon_key,Chorizon Key,String,Yes,30,NA,NA,NA,,,The unique identifier of a record in the Horizon table.  Use this column to join the Horizon Text table to the Horizon table.
chtext,7,chtextkey,chor_text_key,Chorizon Text Key,String,Yes,30,NA,NA,NA,,,A non-connotative string of characters used to uniquely identify a record in the Horizon Text table.
chtexture,1,texcl,texture_class,Texture,Choice,No,254,NA,NA,NA,,texture_class,"An expression, based on the USDA system of particle sizes, for the relative portions of the various size groups of individual mineral grains less than 2mm equivalent diameter in a mass of soil."
chtexture,2,lieutex,terms_used_in_lieu_of_texture,In Lieu,Choice,No,254,NA,NA,NA,,terms_used_in_lieu_of_texture,"Substitute terms applied to materials that do not fit into a textural class because of organic matter content, size, rupture resistance, solubility, or another reason."
chtexture,3,chtgkey,chor_texture_group_key,Chorizon Texture Group Key,String,Yes,30,NA,NA,NA,,,The unique identifier of a record in the Horizon Texture Group table.  Use this column to join the Horizon Texture table to the Horizon Texture Group table.
chtexture,4,chtkey,chor_texture_key,Chorizon Texture Key,String,Yes,30,NA,NA,NA,,,A non-connotative string of characters used to uniquely identify a record in the Horizon Texture table.
chtexturegrp,1,texture,texture_modifier_and_class,Tex Mod & Class,String,No,30,NA,NA,NA,,,Name for the concatenation of TEXTURE_MODIFIER and TEXTURE_CLASS.
chtexturegrp,2,stratextsflag,stratified_textures_flag,Stratified?,Boolean,Yes,3,NA,NA,NA,,,"A Boolean flag that when set (Y) indicates that the textures that comprise a particular texture group, are stratified."
chtexturegrp,3,rvindicator,rv_indicator,RV?,Boolean,Yes,3,NA,NA,NA,,,A yes/no field that indicates if a soil texture is representative for the horizon.
chtexturegrp,4,texdesc,texture_description,Texture Description,Vtext,No,NA,NA,NA,NA,,,"The full texture description for a horizon, using full texture class and in lieu of names rather than abbreviations."
chtexturegrp,5,chkey,chorizon_key,Chorizon Key,String,Yes,30,NA,NA,NA,,,The unique identifier of a record in the Horizon table.  Use this column to join the Horizon Texture Group table to the Horizon table.
chtexturegrp,6,chtgkey,chor_texture_group_key,Chorizon Texture Group Key,String,Yes,30,NA,NA,NA,,,A non-connotative string of characters used to uniquely identify a record in the Horizon Texture Group table.
chtexturemod,1,texmod,texture_modifier,Modifier,Choice,No,254,NA,NA,NA,,texture_modifier,"A term used to denote the presence of a condition or component other than sand, silt, or clay."
chtexturemod,2,chtkey,chor_texture_key,Chorizon Texture Key,String,Yes,30,NA,NA,NA,,,The unique identifier of a record in the Horizon Texture table.  Use this column to join the Horizon Texture Modifier table to the Horizon Texture table.
chtexturemod,3,chtexmodkey,chor_texture_modifier_key,Chorizon Texture Modifier Key,String,Yes,30,NA,NA,NA,,,A non-connotative string of characters used to uniquely identify a record in the Horizon Texture Modifier table.
chunified,1,unifiedcl,unified_soil_classification,Unified,Choice,No,254,NA,NA,NA,,unified_soil_classification,"A system for classifying mineral and organo-mineral soils for engineering purposes based on particle size characteristics, liquid limit, and plasticity index."
chunified,2,rvindicator,rv_indicator,RV?,Boolean,Yes,3,NA,NA,NA,,,A yes/no field that indicates if a Unified soil classification is representative for the horizon.
chunified,3,chkey,chorizon_key,Chorizon Key,String,Yes,30,NA,NA,NA,,,The unique identifier of a record in the Horizon table.  Use this column to join the Horizon Unified table to the Horizon table.
chunified,4,chunifiedkey,chor_unified_key,Chorizon Unified Key,String,Yes,30,NA,NA,NA,,,A non-connotative string of characters used to uniquely identify a record in the Horizon Unified table.
cocanopycover,1,plantcov,plant_species_cover_percent,Canopy Cover %,Integer,No,NA,NA,0,100,percent,,Percent of coverage (canopy) attributed to a specific plant species.
cocanopycover,2,plantsym,plant_symbol,Plant Symbol,String,Yes,8,NA,NA,NA,,,"A unique symbol used to identify a plant genus or a plant species.  (The PLANTS Database, USDA-NRCS, National Plant Data Center.)"
cocanopycover,3,plantsciname,plant_scientific_name,Scientific Name,String,No,127,NA,NA,NA,,,"The full genus and species name as listed in the PLANTS Database, USDA-NRCS, National Plant Data Center."
cocanopycover,4,plantcomname,plant_common_name,Common Name,String,No,60,NA,NA,NA,,,"A generally accepted common name used for a plant in a geographic region, usually a state."
cocanopycover,5,cokey,component_key,Component Key,String,Yes,30,NA,NA,NA,,,The unique identifier of a record in the Component table.  Use this column to join the Component Canopy Cover table to the Component table.
cocanopycover,6,cocanopycovkey,comp_canopy_cover_key,Component Canopy Cover Key,String,Yes,30,NA,NA,NA,,,A non-connotative string of characters used to uniquely identify a record in the Component Canopy Cover table.
cocropyld,1,cropname,crop_name,Crop Name,Choice,No,254,NA,NA,NA,,crop_name,The common name for the crop.
cocropyld,2,yldunits,crop_yield_units,Units,Choice,No,254,NA,NA,NA,,crop_yield_units,Crop yield units per unit area for the specified crop.
cocropyld,3,nonirryield_l,nonirr_crop_yield_l,Nirr Yield - Low Value,Float,No,NA,2,0,9999.99,,,The expected yield per acre of the specific crop without supplemental irrigation.
cocropyld,4,nonirryield_r,nonirr_crop_yield_r,Nirr Yield - Representative Value,Float,No,NA,2,0,9999.99,,,The expected yield per acre of the specific crop without supplemental irrigation.
cocropyld,5,nonirryield_h,nonirr_crop_yield_h,Nirr Yield - High Value,Float,No,NA,2,0,9999.99,,,The expected yield per acre of the specific crop without supplemental irrigation.
cocropyld,6,irryield_l,irrigated_crop_yield_l,Irr Yield - Low Value,Float,No,NA,2,0,9999.99,,,The expected yield per acre of the specific crop with irrigation.
cocropyld,7,irryield_r,irrigated_crop_yield_r,Irr Yield - Representative Value,Float,No,NA,2,0,9999.99,,,The expected yield per acre of the specific crop with irrigation.
cocropyld,8,irryield_h,irrigated_crop_yield_h,Irr Yield - High Value,Float,No,NA,2,0,9999.99,,,The expected yield per acre of the specific crop with irrigation.
cocropyld,9,cropprodindex,crop_productivity_index,Prod Index,Integer,No,NA,NA,0,100,,,An index of the capacity of a soil to produce a specific plant under a defined management system.
cocropyld,10,vasoiprdgrp,va_soil_productivity_group,VA Soil Prod Grp,Choice,No,254,NA,NA,NA,,va_soil_productivity_group,Crop specific groupings of soils indicating potential yields under a high level of management.
cocropyld,11,cokey,component_key,Component Key,String,Yes,30,NA,NA,NA,,,The unique identifier of a record in the Component table.  Use this column to join the Component Crop Yield table to the Component table.
cocropyld,12,cocropyldkey,comp_crop_yield_key,Component Crop Yield Key,String,Yes,30,NA,NA,NA,,,A non-connotative string of characters used to uniquely identify a record in the Component Crop Yield table.
codiagfeatures,1,featkind,diag_horz_feat_kind,Kind,Choice,No,254,NA,NA,NA,,diag_horz_feat_kind,Kind of diagnostic horizon or diagnostic feature in the soil.
codiagfeatures,2,featdept_l,diag_horz_feat_depth_to_top_l,Top Depth - Low Value,Integer,No,NA,NA,0,9999,centimeters,,The distance from the top of the soil to the upper boundary of the identified diagnostic horizon or to the upper limit of the occurrence of the diagnostic feature.
codiagfeatures,3,featdept_r,diag_horz_feat_depth_to_top_r,Top Depth - Representative Value,Integer,No,NA,NA,0,9999,centimeters,,The distance from the top of the soil to the upper boundary of the identified diagnostic horizon or to the upper limit of the occurrence of the diagnostic feature.
codiagfeatures,4,featdept_h,diag_horz_feat_depth_to_top_h,Top Depth - High Value,Integer,No,NA,NA,0,9999,centimeters,,The distance from the top of the soil to the upper boundary of the identified diagnostic horizon or to the upper limit of the occurrence of the diagnostic feature.
codiagfeatures,5,featdepb_l,diag_horz_feat_depth_to_botm_l,Bottom Depth - Low Value,Integer,No,NA,NA,0,9999,centimeters,,The distance from the top of the soil to the base of the identified diagnostic horizon or to the lower limit of the occurrence of the diagnostic feature.
codiagfeatures,6,featdepb_r,diag_horz_feat_depth_to_botm_r,Bottom Depth - Representative Value,Integer,No,NA,NA,0,9999,centimeters,,The distance from the top of the soil to the base of the identified diagnostic horizon or to the lower limit of the occurrence of the diagnostic feature.
codiagfeatures,7,featdepb_h,diag_horz_feat_depth_to_botm_h,Bottom Depth - High Value,Integer,No,NA,NA,0,9999,centimeters,,The distance from the top of the soil to the base of the identified diagnostic horizon or to the lower limit of the occurrence of the diagnostic feature.
codiagfeatures,8,featthick_l,diag_horz_feat_thickness_l,Thickness - Low Value,Integer,No,NA,NA,0,9999,centimeters,,The distance from the upper to lower boundary of the identified diagnostic horizon or feature.
codiagfeatures,9,featthick_r,diag_horz_feat_thickness_r,Thickness - Representative Value,Integer,No,NA,NA,0,9999,centimeters,,The distance from the upper to lower boundary of the identified diagnostic horizon or feature.
codiagfeatures,10,featthick_h,diag_horz_feat_thickness_h,Thickness - High Value,Integer,No,NA,NA,0,9999,centimeters,,The distance from the upper to lower boundary of the identified diagnostic horizon or feature.
codiagfeatures,11,cokey,component_key,Component Key,String,Yes,30,NA,NA,NA,,,The unique identifier of a record in the Component table.  Use this column to join the Component Diagnostic Features table to the Component table.
codiagfeatures,12,codiagfeatkey,comp_diagnostic_features_key,Component Diagnostic Features Key,String,Yes,30,NA,NA,NA,,,A non-connotative string of characters used to uniquely identify a record in the Component Diagnostic Features table.
coecoclass,1,ecoclasstypename,ecological_class_type_name,Ecological Classification Type Name,String,Yes,60,NA,NA,NA,,,"The name of a particular ecological classification scheme.  An example might be ""West Virginia Grassland Suitability Groups"" or ""NRCS Ecological Sites""."
coecoclass,2,ecoclassref,ecological_class_reference,Ecological Classification Reference,String,No,254,NA,NA,NA,,,"The reference citation for a particular ecological classification scheme, typically a publication."
coecoclass,3,ecoclassid,ecological_class_id,Ecological Classification ID,String,Yes,30,NA,NA,NA,,,"The identifier of a particular ecological community.  For NRCS ecological sites, it is the concatenated form of ecological site type, ecological site MLRA, ecological site LRU, ecological site number and ecological site state FIPS alpha code."
coecoclass,4,ecoclassname,ecological_class_name,Ecological Classification Name,Vtext,No,NA,NA,NA,NA,,,"The descriptive name of a particular ecological community.  For NRCS ecological sites, it is the concatenated form of three or six other fields.  The actual fields that are concatenated together to form this name differ between range and forest ecological sites."
coecoclass,5,cokey,component_key,Component Key,String,Yes,30,NA,NA,NA,,,The unique identifier of a record in the Component table.  Use this column to join the Component Ecological Classification table to the Component table.
coecoclass,6,coecoclasskey,comp_eco_classification_key,Component Ecological Classification Key,String,Yes,30,NA,NA,NA,,,A non-connotative string of characters used to uniquely identify a record in the Component Ecological Classification table.
coeplants,1,plantsym,plant_symbol,Plant Symbol,String,Yes,8,NA,NA,NA,,,"A unique symbol used to identify a plant genus or a plant species.  (The PLANTS Database, USDA-NRCS, National Plant Data Center.)"
coeplants,2,plantsciname,plant_scientific_name,Scientific Name,String,No,127,NA,NA,NA,,,"The full genus and species name as listed in the PLANTS Database, USDA-NRCS, National Plant Data Center."
coeplants,3,plantcomname,plant_common_name,Common Name,String,No,60,NA,NA,NA,,,"A generally accepted common name used for a plant in a geographic region, usually a state."
coeplants,4,forestunprod,forest_understory_prod_pct,Understory Prod %,Integer,No,NA,NA,0,100,percent,,"The percentage of total annual site production attributed to the specific forest understory plant, expressed as percent of total air dry plant material by weight."
coeplants,5,rangeprod,rangeland_prod_percent,Range Prod %,Integer,No,NA,NA,0,100,percent,,"The percentage of total annual site production attributed to the specific rangeland plant, expressed as percent of total air dry plant material by weight."
coeplants,6,cokey,component_key,Component Key,String,Yes,30,NA,NA,NA,,,The unique identifier of a record in the Component table.  Use this column to join the Component Existing Plants table to the Component table.
coeplants,7,coeplantskey,comp_existing_plants_key,Component Existing Plants Key,String,Yes,30,NA,NA,NA,,,A non-connotative string of characters used to uniquely identify a record in the Component Existing Plants table.
coerosionacc,1,erokind,erosion_accelerated_kind,Kind,Choice,No,254,NA,NA,NA,,erosion_accelerated_kind,The type of detachment and removal of surface soil particles as largely affected by human activities. (SSM)
coerosionacc,2,rvindicator,rv_indicator,RV?,Boolean,Yes,3,NA,NA,NA,,,A yes/no field that indicates if a listed erosion type is representative for the component.
coerosionacc,3,cokey,component_key,Component Key,String,Yes,30,NA,NA,NA,,,The unique identifier of a record in the Component table.  Use this column to join the Component Erosion Accelerated table to the Component table.
coerosionacc,4,coeroacckey,comp_erosion_accelerated_key,Component Erosion Accelerated Key,String,Yes,30,NA,NA,NA,,,A non-connotative string of characters used to uniquely identify a record in the Component Erosion Accelerated table.
coforprod,1,plantsym,plant_symbol,Plant Symbol,String,Yes,8,NA,NA,NA,,,"A unique symbol used to identify a plant genus or a plant species.  (The PLANTS Database, USDA-NRCS, National Plant Data Center.)"
coforprod,2,plantsciname,plant_scientific_name,Scientific Name,String,No,127,NA,NA,NA,,,"The full genus and species name as listed in the PLANTS Database, USDA-NRCS, National Plant Data Center."
coforprod,3,plantcomname,plant_common_name,Common Name,String,No,60,NA,NA,NA,,,"A generally accepted common name used for a plant in a geographic region, usually a state."
coforprod,4,siteindexbase,site_index_base,Site Index Base,Choice,No,254,NA,NA,NA,,site_index_curves,The number in the National Register of Site Index Curves corresponding to the site index curve used to determine the site index and the annual productivity of forest overstory tree species.
coforprod,5,siteindex_l,site_index_l,Site Index - Low Value,Integer,No,NA,NA,1,300,,,"The height in feet of the dominant or dominant and co-dominant trees at some index age, except for the pinyon-juniper forest type, for which site index is determined by basal area."
coforprod,6,siteindex_r,site_index_r,Site Index - Representative Value,Integer,No,NA,NA,1,300,,,"The height in feet of the dominant or dominant and co-dominant trees at some index age, except for the pinyon-juniper forest type, for which site index is determined by basal area."
coforprod,7,siteindex_h,site_index_h,Site Index - High Value,Integer,No,NA,NA,1,300,,,"The height in feet of the dominant or dominant and co-dominant trees at some index age, except for the pinyon-juniper forest type, for which site index is determined by basal area."
coforprod,8,fprod_l,forest_productivity_l,Productivity ft3/ac/yr CMAI - Low Value,Float,No,NA,2,0,9999,,,The annual growth of forest overstory tree species.
coforprod,9,fprod_r,forest_productivity_r,Productivity ft3/ac/yr CMAI - Representative Value,Float,No,NA,2,0,9999,,,The annual growth of forest overstory tree species.
coforprod,10,fprod_h,forest_productivity_h,Productivity ft3/ac/yr CMAI - High Value,Float,No,NA,2,0,9999,,,The annual growth of forest overstory tree species.
coforprod,11,cokey,component_key,Component Key,String,Yes,30,NA,NA,NA,,,The unique identifier of a record in the Component table.  Use this column to join the Component Forest Productivity table to the Component table.
coforprod,12,cofprodkey,comp_forest_prod_key,Component Forest Productivity Key,String,Yes,30,NA,NA,NA,,,A non-connotative string of characters used to uniquely identify a record in the Component Forest Productivity table.
coforprodo,1,siteindexbase,site_index_base,Site Index Base,Choice,No,254,NA,NA,NA,,site_index_curves,The number in the National Register of Site Index Curves corresponding to the site index curve used to determine the site index and the annual productivity of forest overstory tree species.
coforprodo,2,siteindex_l,site_index_l,Site Index - Low Value,Integer,No,NA,NA,1,300,,,"The height in feet of the dominant or dominant and co-dominant trees at some index age, except for the pinyon-juniper forest type, for which site index is determined by basal area."
coforprodo,3,siteindex_r,site_index_r,Site Index - Representative Value,Integer,No,NA,NA,1,300,,,"The height in feet of the dominant or dominant and co-dominant trees at some index age, except for the pinyon-juniper forest type, for which site index is determined by basal area."
coforprodo,4,siteindex_h,site_index_h,Site Index - High Value,Integer,No,NA,NA,1,300,,,"The height in feet of the dominant or dominant and co-dominant trees at some index age, except for the pinyon-juniper forest type, for which site index is determined by basal area."
coforprodo,5,fprod_l,forest_productivity_l,Productivity - Low Value,Float,No,NA,2,0,9999,,,The annual growth of forest overstory tree species.
coforprodo,6,fprod_r,forest_productivity_r,Productivity - Representative Value,Float,No,NA,2,0,9999,,,The annual growth of forest overstory tree species.
coforprodo,7,fprod_h,forest_productivity_h,Productivity - High Value,Float,No,NA,2,0,9999,,,The annual growth of forest overstory tree species.
coforprodo,8,fprodunits,forest_productivity_units,Units,Choice,No,254,NA,NA,NA,,forest_productivity_units,The unit of measure in which the annual productivity of forest overstory tree species is expressed.
coforprodo,9,cofprodkey,comp_forest_prod_key,Component Forest Productivity Key,String,Yes,30,NA,NA,NA,,,The unique identifier of a record in the Component Forest Productivity table.  Use this column to join the Component Forest Productivity table to the Component Forest Productivity - Other table.
coforprodo,10,cofprodokey,comp_forest_prod_other_key,Component Forest Productivity Other Key,String,Yes,30,NA,NA,NA,,,A non-connotative string of characters used to uniquely identify a record in the Component Forest Productivity - Other table.
cogeomordesc,1,geomftname,geomorph_feat_type_name,Feature Type,String,Yes,30,NA,NA,NA,,,One of several pseudo-hierarchical terms used to describe relative levels of scale for geomorphic terms.
cogeomordesc,2,geomfname,geomorph_feat_name,Feature Name,String,Yes,50,NA,NA,NA,,,"A word or group of words used to name a feature on the earth's surface, expressed in the plural form."
cogeomordesc,3,geomfmod,geomorph_feat_modifier,Feature Modifier,String,No,60,NA,NA,NA,,,"A user specified term(s) used in association with geomorphic features to further define, clarify, and describe the setting of a soil in the  landscape.  The terms may, for example, describe relative position, mode of formation, degree of degradation, slope, or geologic time of origin."
cogeomordesc,4,geomfeatid,geomorphic_feat_id,Feature ID,Integer,No,NA,NA,NA,NA,,,"A number used to identify a row in the Component Geomorphic Description table.  Entering a number is not necessary unless you want to describe the occurrence of a landform on a landform, landform on a landscape, or some other nested set of features.      If you want to describe a landform on a landform, a number is entered in this column to identify the row.  Then, this number is entered in the Exists on Feature ID column of another row to describe the fact that the other row exists on this row."
cogeomordesc,5,existsonfeat,exists_on_feature,Exists On Feature ID,Integer,No,NA,NA,NA,NA,,,"Used to indicate a landform on a landscape, landform on a landform, or microfeature on an landform.  A number in this column refers to a number in the Feature ID column for another row in this table.  The number indicates that this row exists on that other row.  The absence of a number in this column indicates that the row stands alone and does not exist on another row."
cogeomordesc,6,rvindicator,rv_indicator,RV?,Boolean,Yes,3,NA,NA,NA,,,A yes/no field that indicates if a particular geomorphic feature is representative for the component.
cogeomordesc,7,cokey,component_key,Component Key,String,Yes,30,NA,NA,NA,,,The unique identifier of a record in the Component table.  Use this column to join the Component Geomorphic Description table to the Component table.
cogeomordesc,8,cogeomdkey,comp_geomorph_desc_key,Component Geomorphic Description Key,String,Yes,30,NA,NA,NA,,,A non-connotative string of characters used to uniquely identify a record in the Component Geomorphic Description table.
cohydriccriteria,1,hydriccriterion,hydric_criterion,Hydric Criterion,Choice,No,254,NA,NA,NA,,hydric_criteria,"Criterion code for the soil characteristic(s) and/or feature(s) that cause the map unit component to be classified as a ""hydric soil.""  These codes are the paragraph numbers in the hydric soil criteria publication."
cohydriccriteria,2,cokey,component_key,Component Key,String,Yes,30,NA,NA,NA,,,The unique identifier of a record in the Component table.  Use this column to join the Component Hydric Criteria table to the Component table.
cohydriccriteria,3,cohydcritkey,comp_hydric_criteria_key,Component Hydric Criteria Key,String,Yes,30,NA,NA,NA,,,A non-connotative string of characters used to uniquely identify a record in the Component Hydric Criteria table.
cointerp,1,cokey,component_key,Component Key,String,Yes,30,NA,NA,NA,,,The unique identifier of a record in the Component table.  Use this column to join the Component Interpretation table to the Component table.
cointerp,2,mrulekey,main_rule_key,Main Rule Key,String,Yes,30,NA,NA,NA,,,The unique identifier of the rule at the top of the interpretation rule hierarchy (the main rule).  Use this key to find the mail rule in the Component Interpretation table.
cointerp,3,mrulename,main_rule_name,Main Rule Name,String,Yes,60,NA,NA,NA,,,"The name of an interpretation, such as ENG - Dwellings with Basements.  A main rule (interpretation) may contain subordinate rules, which in turn may have other subordinate rules.  The main rule entry in this column is the user assigned name (typically connotative) for the interpretation rule at the top of the hierarchy."
cointerp,4,seqnum,sequence_number,Seq,Integer,Yes,NA,NA,1,NA,,,Sequential number of the feature being described.
cointerp,5,rulekey,rule_key,Rule Key,String,Yes,30,NA,NA,NA,,,The unique identifier of a record in the Rule table in NASIS.
cointerp,6,rulename,rule_name,Rule Name,String,Yes,60,NA,NA,NA,,,A user assigned name (typically connotative) for a particular interpretation rule.
cointerp,7,ruledepth,rule_depth,Rule Depth,Integer,Yes,NA,NA,NA,NA,,,"An interpretation rule may contain subordinate rules, which in turn may have subordinate rules.  This is an indicator of the depth within the interpretation hierarchy that a particular rule exists, where zero is the top level."
cointerp,8,interpll,interp_low_low,Interp Low Low,Float,No,NA,2,NA,NA,,,The minimum extreme numeric rating for the interpretation rating.
cointerp,9,interpllc,interp_low_low_class,Interp Low Low Class,String,No,254,NA,NA,NA,,,The rating class term for the minimum extreme of the interpretation rating.
cointerp,10,interplr,interp_low_rv,Interp Low Representative Value,Float,No,NA,2,NA,NA,,,The minimum numeric rating of the representative values for the interpretation rating.
cointerp,11,interplrc,interp_low_rv_class,Interp Low Representative Value Class,String,No,254,NA,NA,NA,,,The rating class term for the minimum of the representative values of the interpretation rating.
cointerp,12,interphr,interp_high_rv,Interp High Representative Value,Float,No,NA,2,NA,NA,,,The maximum numeric rating of the representative values of the interpretation rating.
cointerp,13,interphrc,interp_high_rv_class,Interp High Representative Value Class,String,No,254,NA,NA,NA,,,The rating class term for the maximum of the representative values for the interpretation rating.
cointerp,14,interphh,interp_high_high,Interp High High,Float,No,NA,2,NA,NA,,,The maximum extreme numeric rating for the interpretation rating.
cointerp,15,interphhc,interp_high_high_class,Interp High High Class,String,No,254,NA,NA,NA,,,A rating class term for the maximum extreme of the interpretation rating.
cointerp,16,nullpropdatabool,null_property_data_boolean,Null Property Data Boolean,Boolean,No,3,NA,NA,NA,,,The value of this attribute is set to true whenever any property used in an interpretation returns any null value.
cointerp,17,defpropdatabool,default_property_data_boolean,Default Property Data Boolean,Boolean,No,3,NA,NA,NA,,,The value of this attribute is set to true whenever any property used in an interpretation returns a default value in place of any null value.
cointerp,18,incpropdatabool,inconsis_property_data_boolean,Inconsistent Property Data Boolean,Boolean,No,3,NA,NA,NA,,,"The value of this attribute is set to true whenever any property used in an interpretation that is based on multiple observations returns inconsistent results for the low low value, the low representative value, the high representative value and the high high value.

A property always returns either a representative value or a low, high and representative value.  Values for low low, low representative, high representative and high high are only derived in the case where the values of a property used in an interpretation are based on multiple observations."
cointerp,19,cointerpkey,comp_interp_key,Component Interpretation Key,String,Yes,30,NA,NA,NA,,,A non-connotative string of characters used to uniquely identify a record in the Component Interpretation table.
comonth,1,monthseq,month_sequence,Month Sequence,Integer,No,NA,NA,1,12,,,An interger number used to sequence the months of the year in their proper order.
comonth,2,month,month,Month,Choice,No,254,NA,NA,NA,,flooding_ponding_month,One of the twelve months of the year.
comonth,3,flodfreqcl,flooding_frequency_class,Flooding Frequency,Choice,No,254,NA,NA,NA,,flooding_frequency_class,The annual probability of a flood event expressed as a class.  (SSM).
comonth,4,floddurcl,flooding_duration_class,Flooding Duration,Choice,No,254,NA,NA,NA,,flooding_duration_class,Average duration of inundation per flood occurrence and expressed as a class.  (NSSH)
comonth,5,pondfreqcl,ponding_frequency_class,Ponding Frequency,Choice,No,254,NA,NA,NA,,ponding_frequency_class,The number of times ponding occurs over a period of time. (SSM)
comonth,6,ponddurcl,ponding_duration_class,Ponding Duration,Choice,No,254,NA,NA,NA,,ponding_duration_class,"The average duration, or length of time, of the ponding occurrence.  (NSSH)"
comonth,7,ponddep_l,ponding_depth_l,Ponding Depth - Low Value,Integer,No,NA,NA,0,185,centimeters,,The depth of surface water that is ponding on the soil.
comonth,8,ponddep_r,ponding_depth_r,Ponding Depth - Representative Value,Integer,No,NA,NA,0,185,centimeters,,The depth of surface water that is ponding on the soil.
comonth,9,ponddep_h,ponding_depth_h,Ponding Depth - High Value,Integer,No,NA,NA,0,185,centimeters,,The depth of surface water that is ponding on the soil.
comonth,10,dlyavgprecip_l,daily_avg_precip_l,Daily Precip - Low Value,Integer,No,NA,NA,0,750,millimeters,,The daily average precipitation for the referenced month.  Commonly calculated as the total precipitation for the month divided by the number of days in the month.  (February nominally has 28 days).
comonth,11,dlyavgprecip_r,daily_avg_precip_r,Daily Precip - Representative Value,Integer,No,NA,NA,0,750,millimeters,,The daily average precipitation for the referenced month.  Commonly calculated as the total precipitation for the month divided by the number of days in the month.  (February nominally has 28 days).
comonth,12,dlyavgprecip_h,daily_avg_precip_h,Daily Precip - High Value,Integer,No,NA,NA,0,750,millimeters,,The daily average precipitation for the referenced month.  Commonly calculated as the total precipitation for the month divided by the number of days in the month.  (February nominally has 28 days).
comonth,13,dlyavgpotet_l,daily_avg_pot_evapotrans_l,Daily ET - Low Value,Integer,No,NA,NA,0,300,millimeters,,Daily average potential evapotranspiration for the referenced month.
comonth,14,dlyavgpotet_r,daily_avg_pot_evapotrans_r,Daily ET - Representative Value,Integer,No,NA,NA,0,300,millimeters,,Daily average potential evapotranspiration for the referenced month.
comonth,15,dlyavgpotet_h,daily_avg_pot_evapotrans_h,Daily ET - High Value,Integer,No,NA,NA,0,300,millimeters,,Daily average potential evapotranspiration for the referenced month.
comonth,16,cokey,component_key,Component Key,String,Yes,30,NA,NA,NA,,,The unique identifier of a record in the Component table.  Use this column to join the Component Month table to the Component table.
comonth,17,comonthkey,comp_month_key,Component Month Key,String,Yes,30,NA,NA,NA,,,A non-connotative string of characters used to uniquely identify a record in the Component Month table.
component,1,comppct_l,component_percent_l,Comp % - Low Value,Integer,No,NA,NA,0,100,percent,,The percentage of the component of the mapunit.
component,2,comppct_r,component_percent_r,Comp % - Representative Value,Integer,No,NA,NA,0,100,percent,,The percentage of the component of the mapunit.
component,3,comppct_h,component_percent_h,Comp % - High Value,Integer,No,NA,NA,0,100,percent,,The percentage of the component of the mapunit.
component,4,compname,component_name,Component Name,String,No,60,NA,NA,NA,,,Name assigned to a component based on its range of properties.
component,5,compkind,component_kind,Kind,Choice,No,254,NA,NA,NA,,component_kind,Identifies the kind of component of the mapunit. Examples are series and miscellaneous areas.
component,6,majcompflag,major_component_flag,Major Component,Boolean,No,3,NA,NA,NA,,,Indicates whether or not a component is a major component in the mapunit.
component,7,otherph,class_determining_phase,SIR phase,String,No,40,NA,NA,NA,,,"Phase criterion other than slope, texture, and flooding used to identify soil components."
component,8,localphase,local_phase,Local Phase,String,No,40,NA,NA,NA,,,"Phase criterion to be used at a local level, in conjunction with ""component name"" to help identify a soil component."
component,9,slope_l,slope_gradient_l,Slope Gradient - Low Value,Float,No,NA,1,0,999,percent,,"The difference in elevation between two points, expressed as a percentage of the distance between those points. (SSM)"
