hzname,desgndisc,desgnmaster,desgnmasterprime,desgnvert,hzdept.l,hzdept.r,hzdept.h,hzdepb.l,hzdepb.r,hzdepb.h,hzthk.l,hzthk.r,hzthk.h,fraggt10.l,fraggt10.r,fraggt10.h,frag3to10.l,frag3to10.r,frag3to10.h,sieveno4.l,sieveno4.r,sieveno4.h,sieveno10.l,sieveno10.r,sieveno10.h,sieveno40.l,sieveno40.r,sieveno40.h,sieveno200.l,sieveno200.r,sieveno200.h,sandtotal.l,sandtotal.r,sandtotal.h,sandvc.l,sandvc.r,sandvc.h,sandco.l,sandco.r,sandco.h,sandmed.l,sandmed.r,sandmed.h,sandfine.l,sandfine.r,sandfine.h,sandvf.l,sandvf.r,sandvf.h,silttotal.l,silttotal.r,silttotal.h,siltco.l,siltco.r,siltco.h,siltfine.l,siltfine.r,siltfine.h,claytotal.l,claytotal.r,claytotal.h,claysizedcarb.l,claysizedcarb.r,claysizedcarb.h,om.l,om.r,om.h,dbtenthbar.l,dbtenthbar.r,dbtenthbar.h,dbthirdbar.l,dbthirdbar.r,dbthirdbar.h,dbfifteenbar.l,dbfifteenbar.r,dbfifteenbar.h,dbovendry.l,dbovendry.r,dbovendry.h,partdensity,ksat.l,ksat.r,ksat.h,awc.l,awc.r,awc.h,wtenthbar.l,wtenthbar.r,wtenthbar.h,wthirdbar.l,wthirdbar.r,wthirdbar.h,wfifteenbar.l,wfifteenbar.r,wfifteenbar.h,wsatiated.l,wsatiated.r,wsatiated.h,lep.l,lep.r,lep.h,ll.l,ll.r,ll.h,pi.l,pi.r,pi.h,aashind.l,aashind.r,aashind.h,kwfact,kffact,caco3.l,caco3.r,caco3.h,gypsum.l,gypsum.r,gypsum.h,sar.l,sar.r,sar.h,ec.l,ec.r,ec.h,cec7.l,cec7.r,cec7.h,ecec.l,ecec.r,ecec.h,sumbases.l,sumbases.r,sumbases.h,ph1to1h2o.l,ph1to1h2o.r,ph1to1h2o.h,ph01mcacl2.l,ph01mcacl2.r,ph01mcacl2.h,freeiron.l,freeiron.r,freeiron.h,feoxalate.l,feoxalate.r,feoxalate.h,extracid.l,extracid.r,extracid.h,extral.l,extral.r,extral.h,aloxalate.l,aloxalate.r,aloxalate.h,pbray1.l,pbray1.r,pbray1.h,poxalate.l,poxalate.r,poxalate.h,ph2osoluble.l,ph2osoluble.r,ph2osoluble.h,ptotal.l,ptotal.r,ptotal.h,excavdifcl,excavdifms,cokey,chkey
C,NA,C,NA,NA,NA,10,NA,NA,33,NA,NA,NA,NA,0,0,0,0,0,0,95,97.5,100,95,97.5,100,90,95,100,70,82.5,95,NA,30,NA,NA,2.8,NA,NA,3.1,NA,NA,5.7,NA,NA,10.1,NA,NA,8.3,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,35,40,45,NA,NA,NA,0,0.25,0.5,NA,NA,NA,1.2,1.28,1.35,NA,NA,NA,1.51,1.59,1.66,NA,0.4233,1,1.411,0.14,0.16,0.18,NA,NA,NA,22.9,28.9,40.4,15.3,19.3,23.8,45,48,51,6,7.5,8.9,35,42.5,50,15,20,25,8,16,27,0.24,0.24,5,10,15,1,8,15,1,8,15,2,5,8,20,30,40,NA,NA,NA,NA,NA,NA,7.9,8.5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14875668,42894592
Cr,NA,C,NA,NA,NA,33,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4233,1,1.411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14875668,42894593
A,NA,A,NA,NA,NA,0,NA,NA,13,NA,NA,NA,NA,0,0,0,0,3,5,85,92.5,100,80,90,100,55,70,85,35,42.5,50,NA,65.2,NA,NA,0.3,NA,NA,4.5,NA,NA,14.5,NA,NA,28.3,NA,NA,17.6,NA,NA,27.3,NA,NA,NA,NA,NA,NA,NA,5,7.5,10,NA,NA,NA,1,1.5,2,NA,NA,NA,1.35,1.43,1.5,NA,NA,NA,1.42,1.5,1.57,NA,14.11,28,42.33,0.12,0.13,0.14,NA,NA,NA,9.5,15.4,18.9,3.9,6.4,9.2,34,40,46,0,1.5,2.9,20,22.5,25,0,2.5,5,0,0,0,0.24,0.24,5,8,10,0,0,0,0,0,0,0,1,2,5,7.5,10,NA,NA,NA,NA,NA,NA,7.9,8.2,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14875673,42894598
Ck,NA,C,NA,NA,NA,13,NA,NA,58,NA,NA,NA,NA,0,0,0,0,0,0,80,90,100,75,87.5,100,55,70,85,30,42.5,55,NA,63.5,NA,NA,0.3,NA,NA,4.4,NA,NA,14.1,NA,NA,27.6,NA,NA,17.1,NA,NA,26.5,NA,NA,NA,NA,NA,NA,NA,5,10,15,NA,NA,NA,0,0.25,0.5,NA,NA,NA,1.45,1.53,1.6,NA,NA,NA,1.53,1.61,1.68,NA,14.11,28,42.33,0.11,0.12,0.13,NA,NA,NA,6.8,15.7,20.5,2.9,6.7,11,31,37,43,0,1.5,2.9,NA,NA,NA,0,0,0,0,0,0,0.32,0.32,5,8,10,0,0,0,0,0,0,0,1,2,5,7.5,10,NA,NA,NA,NA,NA,NA,7.9,8.2,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14875673,42894599
Cr,NA,C,NA,NA,NA,58,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4233,7,14.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14875673,42894600
A,NA,A,NA,NA,NA,0,NA,NA,10,NA,NA,NA,NA,0,0,0,0,0,0,85,92.5,100,80,90,100,55,70,85,35,45,55,NA,62.5,NA,NA,0.3,NA,NA,4.3,NA,NA,13.9,NA,NA,27.2,NA,NA,16.8,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,5,11.5,18,NA,NA,NA,0.5,0.75,1,NA,NA,NA,1.35,1.43,1.5,NA,NA,NA,1.42,1.5,1.57,NA,14.11,28,42.33,0.12,0.13,0.14,NA,NA,NA,7.4,17.1,22,3.5,7.9,12.9,36,41,46,0,1.5,2.9,20,22.5,25,0,2.5,5,0,0,0,0.28,0.28,0,3,5,0,0,0,0,0,0,0,0,0,3,9,15,NA,NA,NA,NA,NA,NA,7.4,7.9,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14875674,42894601
C,NA,C,NA,NA,NA,10,NA,NA,25,NA,NA,NA,NA,0,0,0,0,0,0,85,92.5,100,80,90,100,55,62.5,70,25,32.5,40,NA,64.6,NA,NA,0.3,NA,NA,4.5,NA,NA,14.3,NA,NA,28.1,NA,NA,17.4,NA,NA,26.9,NA,NA,NA,NA,NA,NA,NA,5,8.5,12,NA,NA,NA,0.5,0.75,1,NA,NA,NA,1.35,1.43,1.5,NA,NA,NA,1.42,1.5,1.57,NA,14.11,28,42.33,0.09,0.11,0.13,NA,NA,NA,8.6,15.2,18.8,3.5,6.1,9.1,36,41,46,0,1.5,2.9,20,22.5,25,0,2.5,5,0,0,0,0.28,0.28,2,6,10,0,0,0,0,0,0,0,0,0,3,6.5,10,NA,NA,NA,NA,NA,NA,7.4,7.9,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14875674,42894602
Cr,NA,C,NA,NA,NA,25,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.411,3,4.233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14875674,42894603
Bt,NA,B,NA,NA,NA,30,NA,NA,66,NA,NA,NA,NA,0,0,0,0,0,0,85,92.5,100,80,90,100,75,85,95,60,77.5,95,NA,27.8,NA,NA,1.6,NA,NA,2.4,NA,NA,5.4,NA,NA,10.1,NA,NA,8.3,NA,NA,29.7,NA,NA,NA,NA,NA,NA,NA,35,42.5,50,NA,NA,NA,0.5,1.25,2,NA,NA,NA,1.15,1.23,1.3,NA,NA,NA,1.46,1.54,1.61,NA,0.4233,1,1.411,0.15,0.17,0.18,NA,NA,NA,25,32.9,36.9,16.7,22,27.6,43,48,53,6,7.5,8.9,35,42.5,50,15,20,25,6,15,27,0.24,0.24,0,0,1,0,0,0,0,0,0,0,1,2,20,32.5,45,NA,NA,NA,NA,NA,NA,6.1,7.3,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14875684,42894611
A,NA,A,NA,NA,NA,0,NA,NA,30,NA,NA,NA,NA,0,0,0,0,0,0,100,100,100,100,100,100,90,95,100,70,75,80,NA,35.4,NA,NA,3.1,NA,NA,4.4,NA,NA,6.1,NA,NA,11.2,NA,NA,10.6,NA,NA,33.6,NA,NA,NA,NA,NA,NA,NA,27,31,35,NA,NA,NA,2,3,4,NA,NA,NA,1.25,1.33,1.4,NA,NA,NA,1.44,1.52,1.58,NA,1.411,3,4.233,0.17,0.19,0.21,NA,NA,NA,28,33.4,35.2,17.4,20.8,24.1,43,45,48,3,4.5,5.9,30,32.5,35,10,12.5,15,5,8,11,0.17,0.17,0,0,0,0,0,0,0,0,0,0,0,0,20,27.5,35,NA,NA,NA,NA,NA,NA,6.1,7,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14875684,42894612
BC,NA,BC,NA,NA,NA,66,NA,NA,76,NA,NA,NA,NA,0,0,0,0,0,0,85,92.5,100,80,90,100,75,85,95,60,77.5,95,NA,27.8,NA,NA,1.6,NA,NA,2.4,NA,NA,5.4,NA,NA,10.1,NA,NA,8.3,NA,NA,29.7,NA,NA,NA,NA,NA,NA,NA,35,42.5,50,NA,NA,NA,0.5,1.25,2,NA,NA,NA,1.15,1.23,1.3,NA,NA,NA,1.46,1.54,1.61,NA,0.4233,1,1.411,0.15,0.17,0.18,NA,NA,NA,25,32.9,36.9,16.7,22,27.6,43,48,53,6,7.5,8.9,35,42.5,50,15,20,25,6,15,27,0.24,0.24,0,3,5,0,0,0,0,0,0,0,1,2,20,32.5,45,NA,NA,NA,NA,NA,NA,6.1,7.3,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14875684,42894613
Bk,NA,B,NA,NA,NA,76,NA,NA,147,NA,NA,NA,NA,0,0,0,0,0,0,85,92.5,100,80,90,100,65,77.5,90,30,42.5,55,NA,55.5,NA,NA,1.5,NA,NA,9,NA,NA,15.3,NA,NA,19.5,NA,NA,10.2,NA,NA,14.5,NA,NA,NA,NA,NA,NA,NA,25,30,35,NA,NA,NA,0,0.5,1,NA,NA,NA,1.25,1.33,1.4,NA,NA,NA,1.31,1.39,1.46,NA,1.411,3,4.233,0.13,0.15,0.17,NA,NA,NA,18,23.8,27.3,12.4,16.4,20.7,40,45,50,0,1.5,2.9,30,32.5,35,10,12.5,15,0,1,5,0.2,0.2,1,8,15,0,0,0,0,0,0,0,1,2,15,22.5,30,NA,NA,NA,NA,NA,NA,7.9,8.5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14875684,42894614
C,NA,C,NA,NA,NA,147,NA,NA,183,NA,NA,NA,NA,0,0,0,0,0,0,85,92.5,100,80,90,100,80,90,100,60,77.5,95,NA,26.1,NA,NA,1.7,NA,NA,2.2,NA,NA,5,NA,NA,9.4,NA,NA,7.8,NA,NA,28.9,NA,NA,NA,NA,NA,NA,NA,40,45,50,NA,NA,NA,0,0.25,0.5,NA,NA,NA,1.15,1.23,1.3,NA,NA,NA,1.46,1.54,1.61,NA,0.4233,1,1.411,0.13,0.14,0.15,NA,NA,NA,24.7,39.3,42.4,18.4,22.2,26.2,43,48,54,6,7.5,8.9,40,45,50,15,20,25,7,15,27,0.17,0.17,1,8,15,0,1,2,0,0,0,0,1,2,20,30,40,NA,NA,NA,NA,NA,NA,7.4,8.2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14875684,42894615
A,NA,A,NA,NA,NA,0,NA,NA,15,NA,NA,NA,NA,0,0,0,0,8,15,60,70,80,55,65,75,50,60,70,35,45,55,NA,41.4,NA,NA,3.9,NA,NA,5.4,NA,NA,7.3,NA,NA,12.9,NA,NA,11.9,NA,NA,37.1,NA,NA,NA,NA,NA,NA,NA,18,21.5,25,NA,NA,NA,1,1.5,2,NA,NA,NA,1.25,1.33,1.4,NA,NA,NA,1.33,1.41,1.49,NA,4.233,9,14.11,0.1,0.12,0.14,NA,NA,NA,14.8,21.3,25.9,6.9,9.9,13.4,28,35,42,0,1.5,2.9,25,27.5,30,5,7.5,10,0,0,3,0.15,0.28,1,3,5,0,0,0,0,0,0,0,1,2,10,15,20,NA,NA,NA,NA,NA,NA,7.4,7.9,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14875694,42894644
C,NA,C,NA,NA,NA,15,NA,NA,43,NA,NA,NA,NA,0,0,0,0,8,15,35,45,55,30,40,50,25,37.5,50,20,30,40,NA,44.8,NA,NA,4.4,NA,NA,6,NA,NA,8,NA,NA,13.8,NA,NA,12.6,NA,NA,41.2,NA,NA,NA,NA,NA,NA,NA,10,14,18,NA,NA,NA,0.5,1.25,2,NA,NA,NA,1.25,1.33,1.4,NA,NA,NA,1.36,1.44,1.56,NA,4.233,9,14.11,0.06,0.07,0.08,NA,NA,NA,6.7,13.4,18.3,2.4,4.8,8,18,25,33,0,1.5,2.9,20,22.5,25,0,2.5,5,0,0,0,0.15,0.28,1,8,15,0,0,0,0,0,0,0,1,2,1,8,15,NA,NA,NA,NA,NA,NA,7.4,7.9,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14875694,42894645
R,NA,R,NA,NA,NA,43,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4233,1,1.411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14875694,42894646
R,NA,R,NA,NA,NA,0,NA,NA,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14875695,42894647
A,NA,A,NA,NA,NA,0,NA,NA,10,NA,NA,NA,NA,0,0,0,0,8,15,55,67.5,80,50,62.5,75,50,60,70,35,45,55,NA,41.6,NA,NA,3.9,NA,NA,5.4,NA,NA,7.3,NA,NA,13,NA,NA,12,NA,NA,37.4,NA,NA,NA,NA,NA,NA,NA,15,21,27,NA,NA,NA,0.5,0.75,1,NA,NA,NA,1.25,1.33,1.4,NA,NA,NA,1.33,1.41,1.5,NA,4.233,9,14.11,0.1,0.12,0.14,NA,NA,NA,11.7,20.1,25.8,5.1,8.8,13.3,26,34,43,0,1.5,2.9,20,25,30,0,5,10,0,0,3,0.2,0.37,25,50,75,0,0,0,0,0,0,0,1,2,3,9,15,NA,NA,NA,NA,NA,NA,7.9,8.2,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14875697,42894648
C,NA,C,NA,NA,NA,10,NA,NA,28,NA,NA,NA,NA,0,0,0,0,8,15,55,67.5,80,50,62.5,75,50,60,70,35,45,55,NA,41.6,NA,NA,3.9,NA,NA,5.4,NA,NA,7.3,NA,NA,13,NA,NA,12,NA,NA,37.4,NA,NA,NA,NA,NA,NA,NA,15,21,27,NA,NA,NA,0,0.5,1,NA,NA,NA,1.25,1.33,1.4,NA,NA,NA,1.33,1.41,1.5,NA,4.233,9,14.11,0.1,0.12,0.14,NA,NA,NA,11,19.9,25.8,4.8,8.6,13.3,26,34,43,0,1.5,2.9,20,22.5,25,0,2.5,5,0,0,0,0.2,0.37,40,58,75,0,1,2,0,5,10,0,1,2,2,8.5,15,NA,NA,NA,NA,NA,NA,7.9,8.5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14875697,42894649
R,NA,R,NA,NA,NA,28,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4233,1,1.411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14875697,42894650
A,NA,A,NA,NA,NA,0,NA,NA,8,NA,NA,NA,NA,0,0,0,0,0,0,100,100,100,95,97.5,100,85,90,95,60,67.5,75,NA,36.9,NA,NA,0,NA,NA,0.1,NA,NA,0.8,NA,NA,7.6,NA,NA,28.4,NA,NA,42.1,NA,NA,NA,NA,NA,NA,NA,15,21,27,NA,NA,NA,0.5,1.25,2,NA,NA,NA,1.25,1.33,1.4,NA,NA,NA,1.31,1.39,1.45,NA,4.233,9,14.11,0.14,0.16,0.18,NA,NA,NA,18.5,27.7,30.9,8.4,12.5,16.7,43,46,49,0,1.5,2.9,25,27.5,30,5,7.5,10,0,3,6,0.37,0.37,0,5,10,0,0,0,0,0,0,0,1,2,5,12.5,20,NA,NA,NA,NA,NA,NA,7.9,8.2,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14875698,42894651
C,NA,C,NA,NA,NA,8,NA,NA,152,NA,NA,NA,NA,0,0,0,0,0,0,100,100,100,95,97.5,100,90,95,100,75,82.5,90,NA,31.8,NA,NA,0,NA,NA,0.2,NA,NA,0.9,NA,NA,7.1,NA,NA,23.6,NA,NA,42.2,NA,NA,NA,NA,NA,NA,NA,18,26,35,NA,NA,NA,0,0.5,1,NA,NA,NA,1.25,1.33,1.4,NA,NA,NA,1.31,1.39,1.45,NA,1.411,3,4.233,0.14,0.16,0.18,NA,NA,NA,19,29,32.8,9.3,14.2,19.8,43,46,50,0,1.5,2.9,20,30,40,5,12.5,20,1,8,18,0.43,0.43,15,28,40,0,3,5,0,3,5,2,3,4,5,15,25,NA,NA,NA,NA,NA,NA,7.9,8.2,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14875698,42894652
H1,NA,H,NA,1,NA,0,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,0,13,25,10,17.5,25,5,15,25,0,7.5,15,0,2.5,5,NA,97.9,NA,NA,0.7,NA,NA,13.4,NA,NA,37.9,NA,NA,38.6,NA,NA,7.3,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,0,0.5,1,NA,NA,NA,0,0.05,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,92,141,0.01,0.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.5,2.9,0,7,14,0,0,0,0,0,0,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14875719,42894688
H2,NA,H,NA,2,NA,15,NA,NA,152,NA,NA,NA,NA,NA,NA,NA,0,13,25,10,32.5,55,5,27.5,50,0,7.5,15,0,2.5,5,NA,97.9,NA,NA,0.7,NA,NA,13.4,NA,NA,37.9,NA,NA,38.6,NA,NA,7.3,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,92,141,0.01,0.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.5,2.9,0,7,14,0,0,0,0,0,0,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14875719,42894689
A,NA,A,NA,NA,NA,0,NA,NA,8,NA,NA,NA,NA,0,0,0,0,0,0,100,100,100,100,100,100,90,95,100,70,75,80,NA,33.9,NA,NA,2.9,NA,NA,4.2,NA,NA,5.9,NA,NA,10.7,NA,NA,10.2,NA,NA,32.1,NA,NA,NA,NA,NA,NA,NA,28,34,40,NA,NA,NA,0.5,1.25,2,NA,NA,NA,1.25,1.33,1.4,NA,NA,NA,1.44,1.52,1.58,NA,0.4233,1,1.411,0.17,0.19,0.21,NA,NA,NA,26.4,33.2,34.8,16.2,20.4,23.4,44,47,49,3,4.5,5.9,30,35,40,10,15,20,5,10,15,0.24,0.24,0,3,5,0,0,0,0,5,10,0,1,2,15,25,35,NA,NA,NA,NA,NA,NA,6.6,7.5,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,14875727,42894694
