recdate,mapunittextkind,textcat,textsubcat,text,mukey,mutextkey
06/28/2013 00:00:00,Miscellaneous notes,Interpretations,,"DMU: MLRA 69B Manzanola SICL 3-9 (633209)
MU: Manzanola silty clay loam, 3 to 9 percent slopes (new map unit symbol is MzC)
National map unit symbol: 2rgrk


Interpretation differences in WMS are due to lower SAR and EC amounts, higher SAR and EC are assigned to the typical pedon for the saline map unit concept. Differences in thickest layer, some differences in ENG interpretations. Less sand in the thickest layer in the new type, some ENG differences. Less clay in the lower part in the new type, some WMS differences.

",2766576,1499172
06/28/2013 00:00:00,Miscellaneous notes,Location,,"DMU: MLRA 69B Manzanola SICL 3-9 (633209)
MU: Manzanola silty clay loam, 3 to 9 percent slopes (new map unit symbol is MzC)
National map unit symbol: 2rgrk


Pueblo County
For old map unit MoD in 69B use new MzC symbol (use MzC dmu and mu)

El Paso County
For old map unit 53 in 69B use new symbol MzC (use new MzC dmu and mu)




",2766576,1499173
06/28/2013 00:00:00,Map unit description,map unit concept,,"DMU: MLRA 69B Manzanola SICL 3-9 (633209)
MU: Manzanola silty clay loam, 3 to 9 percent slopes (new map unit symbol is MzC)
National map unit symbol: 2rgrk

The Manzanola series is ustic aridic  and in MLRA 69. (Manzanst was established in MLRA 67 to separate the aridic ustic soils from the ustic aridic soils in MLRA 69.) This map unit is contained entirely in MLRA 69B in the ustic aridic moisture zone with 305 to 356 mm of precipitation annually and is class 6e (because of slope/erosion) rangeland. Elevations range from 1128 to 1890 meters. MAAT is 9 to 12 degrees C. Frost Free Days are 130 to 170. Soils in this map unit formed in old alluvium. This map unit is mapped in Pueblo and El Paso counties. These soils are  typically on interfluves and in drainageways, but are also found on terraces and fan remnants. This map unit is in MLRA 69B, it has lower EC and SAR than the saline map units. Calcareous material is commonly at the surface, but ranges from 0 to 10 inches and is not leached in the argillic horizon. Map units with similar properties and slopes are combined to correct inconsistencies.",2766576,1499174
06/28/2013 00:00:00,Miscellaneous notes,location,,"DMU: MLRA 69B Manzanola SICL 3-9 (633209)
MU: Manzanola silty clay loam, 3 to 9 percent slopes (new map unit symbol is MzC)
National map unit symbol: 2rgrk


El Paso County
For old map unit 53 in 69B use new MzC symbol (use MzC dmu and mu)

Pueblo County
For old map unit MoD in 69B use new symbol MzC (use new MzC dmu and mu)

Huerfano County
For the old map unit 45 in 69B use new wymbol MzC (use new MzC dmu and mu)







",2766576,1499175
06/28/2013 00:00:00,Map unit description,minor components,,"DMU: MLRA 69B Manzanola SICL 3-9  (633209)
MU: Manzanola silty clay loam, 3 to 9 percent slopes (new map unit symbol is MzC)
National map unit symbol: 2rgrk

Minor components consist of Wilid, Fort, and Razor soils. Fort soils are fine-loamy. Manvel and Wilid soils are fine-silty and have a calcic.  Wilid and Fort soils are on interfluves. Soils in this area are formed in old alluvium that is modified by windblown material or local alluvium in some places. Razor soils are fine-family and moderately deep to shale. Razor soils are on hills and pediments.

",2766576,1499176
03/24/2009 00:00:00,Edit notes,Component,NA,"In preparation for SSURGO certification, some assumptions had to be made to allow a fully populated and certifiable dataset:

Minor components were populated from the published report.  Component and horizon data for minor components were copied from a corresponding major component.

All horizon fragments and surface fragments were assumed to be indurated if hardness was unknown.

All paralithic layers were assumed to be weakly cemented if hardness was unknown.

Generalized horizon layers (H1, H2, etc.) were subdivided into horizons based on the series description in the publication.

The landform for many map units was published as ""mountainsides and ridges""; these were populated as simply ""mountain slopes"".  Some map units were published as ""hills and ridges"";  these were judged to have too much relief for hills and were populated as ""mountain slopes"".",497325,1505718
03/24/2009 00:00:00,Edit notes,Component,NA,"In preparation for SSURGO certification, some assumptions had to be made to allow a fully populated and certifiable dataset:

Minor components were populated from the published report.  Component and horizon data for minor components were copied from a corresponding major component.

All horizon fragments and surface fragments were assumed to be indurated if hardness was unknown.

All paralithic layers were assumed to be weakly cemented if hardness was unknown.

Generalized horizon layers (H1, H2, etc.) were subdivided into horizons based on the series description in the publication.

The landform for many map units was published as ""mountainsides and ridges""; these were populated as simply ""mountain slopes"".  Some map units were published as ""hills and ridges"";  these were judged to have too much relief for hills and were populated as ""mountain slopes"".",497327,1505720
03/24/2009 00:00:00,Edit notes,Component,NA,"In preparation for SSURGO certification, some assumptions had to be made to allow a fully populated and certifiable dataset:

Minor components were populated from the published report.  Component and horizon data for minor components were copied from a corresponding major component.

All horizon fragments and surface fragments were assumed to be indurated if hardness was unknown.

All paralithic layers were assumed to be weakly cemented if hardness was unknown.

Generalized horizon layers (H1, H2, etc.) were subdivided into horizons based on the series description in the publication.

The landform for many map units was published as ""mountainsides and ridges""; these were populated as simply ""mountain slopes"".  Some map units were published as ""hills and ridges"";  these were judged to have too much relief for hills and were populated as ""mountain slopes"".",497333,1505708
03/24/2009 00:00:00,Edit notes,Component,NA,"In preparation for SSURGO certification, some assumptions had to be made to allow a fully populated and certifiable dataset:

Minor components were populated from the published report.  Component and horizon data for minor components were copied from a corresponding major component.

All horizon fragments and surface fragments were assumed to be indurated if hardness was unknown.

All paralithic layers were assumed to be weakly cemented if hardness was unknown.

Generalized horizon layers (H1, H2, etc.) were subdivided into horizons based on the series description in the publication.

The landform for many map units was published as ""mountainsides and ridges""; these were populated as simply ""mountain slopes"".  Some map units were published as ""hills and ridges"";  these were judged to have too much relief for hills and were populated as ""mountain slopes"".",497335,1505727
03/24/2009 00:00:00,Edit notes,Component,NA,"In preparation for SSURGO certification, some assumptions had to be made to allow a fully populated and certifiable dataset:

Minor components were populated from the published report.  Component and horizon data for minor components were copied from a corresponding major component.

All horizon fragments and surface fragments were assumed to be indurated if hardness was unknown.

All paralithic layers were assumed to be weakly cemented if hardness was unknown.

Generalized horizon layers (H1, H2, etc.) were subdivided into horizons based on the series description in the publication.

The landform for many map units was published as ""mountainsides and ridges""; these were populated as simply ""mountain slopes"".  Some map units were published as ""hills and ridges"";  these were judged to have too much relief for hills and were populated as ""mountain slopes"".",497336,1505728
03/24/2009 00:00:00,Edit notes,Component,NA,"In preparation for SSURGO certification, some assumptions had to be made to allow a fully populated and certifiable dataset:

Minor components were populated from the published report.  Component and horizon data for minor components were copied from a corresponding major component.

All horizon fragments and surface fragments were assumed to be indurated if hardness was unknown.

All paralithic layers were assumed to be weakly cemented if hardness was unknown.

Generalized horizon layers (H1, H2, etc.) were subdivided into horizons based on the series description in the publication.

The landform for many map units was published as ""mountainsides and ridges""; these were populated as simply ""mountain slopes"".  Some map units were published as ""hills and ridges"";  these were judged to have too much relief for hills and were populated as ""mountain slopes"".",497337,1505729
03/24/2009 00:00:00,Edit notes,Component,NA,"In preparation for SSURGO certification, some assumptions had to be made to allow a fully populated and certifiable dataset:

Minor components were populated from the published report.  Component and horizon data for minor components were copied from a corresponding major component.

All horizon fragments and surface fragments were assumed to be indurated if hardness was unknown.

All paralithic layers were assumed to be weakly cemented if hardness was unknown.

Generalized horizon layers (H1, H2, etc.) were subdivided into horizons based on the series description in the publication.

The landform for many map units was published as ""mountainsides and ridges""; these were populated as simply ""mountain slopes"".  Some map units were published as ""hills and ridges"";  these were judged to have too much relief for hills and were populated as ""mountain slopes"".",497340,1505732
03/24/2009 00:00:00,Edit notes,Component,NA,"In preparation for SSURGO certification, some assumptions had to be made to allow a fully populated and certifiable dataset:

Minor components were populated from the published report.  Component and horizon data for minor components were copied from a corresponding major component.

All horizon fragments and surface fragments were assumed to be indurated if hardness was unknown.

All paralithic layers were assumed to be weakly cemented if hardness was unknown.

Generalized horizon layers (H1, H2, etc.) were subdivided into horizons based on the series description in the publication.

The landform for many map units was published as ""mountainsides and ridges""; these were populated as simply ""mountain slopes"".  Some map units were published as ""hills and ridges"";  these were judged to have too much relief for hills and were populated as ""mountain slopes"".",497343,1505735
03/24/2009 00:00:00,Edit notes,Component,NA,"In preparation for SSURGO certification, some assumptions had to be made to allow a fully populated and certifiable dataset:

Minor components were populated from the published report.  Component and horizon data for minor components were copied from a corresponding major component.

All horizon fragments and surface fragments were assumed to be indurated if hardness was unknown.

All paralithic layers were assumed to be weakly cemented if hardness was unknown.

Generalized horizon layers (H1, H2, etc.) were subdivided into horizons based on the series description in the publication.

The landform for many map units was published as ""mountainsides and ridges""; these were populated as simply ""mountain slopes"".  Some map units were published as ""hills and ridges"";  these were judged to have too much relief for hills and were populated as ""mountain slopes"".",497346,1505737
03/24/2009 00:00:00,Edit notes,Component,NA,"In preparation for SSURGO certification, some assumptions had to be made to allow a fully populated and certifiable dataset:

Minor components were populated from the published report.  Component and horizon data for minor components were copied from a corresponding major component.

All horizon fragments and surface fragments were assumed to be indurated if hardness was unknown.

All paralithic layers were assumed to be weakly cemented if hardness was unknown.

Generalized horizon layers (H1, H2, etc.) were subdivided into horizons based on the series description in the publication.

The landform for many map units was published as ""mountainsides and ridges""; these were populated as simply ""mountain slopes"".  Some map units were published as ""hills and ridges"";  these were judged to have too much relief for hills and were populated as ""mountain slopes"".",497349,1505740
03/24/2009 00:00:00,Edit notes,Component,NA,"In preparation for SSURGO certification, some assumptions had to be made to allow a fully populated and certifiable dataset:

Minor components were populated from the published report.  Component and horizon data for minor components were copied from a corresponding major component.

All horizon fragments and surface fragments were assumed to be indurated if hardness was unknown.

All paralithic layers were assumed to be weakly cemented if hardness was unknown.

Generalized horizon layers (H1, H2, etc.) were subdivided into horizons based on the series description in the publication.

The landform for many map units was published as ""mountainsides and ridges""; these were populated as simply ""mountain slopes"".  Some map units were published as ""hills and ridges"";  these were judged to have too much relief for hills and were populated as ""mountain slopes"".",497350,1505741
03/24/2009 00:00:00,Edit notes,Component,NA,"In preparation for SSURGO certification, some assumptions had to be made to allow a fully populated and certifiable dataset:

Minor components were populated from the published report.  Component and horizon data for minor components were copied from a corresponding major component.

All horizon fragments and surface fragments were assumed to be indurated if hardness was unknown.

All paralithic layers were assumed to be weakly cemented if hardness was unknown.

Generalized horizon layers (H1, H2, etc.) were subdivided into horizons based on the series description in the publication.

The landform for many map units was published as ""mountainsides and ridges""; these were populated as simply ""mountain slopes"".  Some map units were published as ""hills and ridges"";  these were judged to have too much relief for hills and were populated as ""mountain slopes"".",497351,1505742
03/24/2009 00:00:00,Edit notes,Component,NA,"In preparation for SSURGO certification, some assumptions had to be made to allow a fully populated and certifiable dataset:

Minor components were populated from the published report.  Component and horizon data for minor components were copied from a corresponding major component.

All horizon fragments and surface fragments were assumed to be indurated if hardness was unknown.

All paralithic layers were assumed to be weakly cemented if hardness was unknown.

Generalized horizon layers (H1, H2, etc.) were subdivided into horizons based on the series description in the publication.

The landform for many map units was published as ""mountainsides and ridges""; these were populated as simply ""mountain slopes"".  Some map units were published as ""hills and ridges"";  these were judged to have too much relief for hills and were populated as ""mountain slopes"".",497359,1505749
03/24/2009 00:00:00,Edit notes,Component,NA,"In preparation for SSURGO certification, some assumptions had to be made to allow a fully populated and certifiable dataset:

Minor components were populated from the published report.  Component and horizon data for minor components were copied from a corresponding major component.

All horizon fragments and surface fragments were assumed to be indurated if hardness was unknown.

All paralithic layers were assumed to be weakly cemented if hardness was unknown.

Generalized horizon layers (H1, H2, etc.) were subdivided into horizons based on the series description in the publication.

The landform for many map units was published as ""mountainsides and ridges""; these were populated as simply ""mountain slopes"".  Some map units were published as ""hills and ridges"";  these were judged to have too much relief for hills and were populated as ""mountain slopes"".",497361,1505751
03/24/2009 00:00:00,Edit notes,Component,NA,"In preparation for SSURGO certification, some assumptions had to be made to allow a fully populated and certifiable dataset:

Minor components were populated from the published report.  Component and horizon data for minor components were copied from a corresponding major component.

All horizon fragments and surface fragments were assumed to be indurated if hardness was unknown.

All paralithic layers were assumed to be weakly cemented if hardness was unknown.

Generalized horizon layers (H1, H2, etc.) were subdivided into horizons based on the series description in the publication.

The landform for many map units was published as ""mountainsides and ridges""; these were populated as simply ""mountain slopes"".  Some map units were published as ""hills and ridges"";  these were judged to have too much relief for hills and were populated as ""mountain slopes"".",497362,1505752
03/24/2009 00:00:00,Edit notes,Component,NA,"In preparation for SSURGO certification, some assumptions had to be made to allow a fully populated and certifiable dataset:

Minor components were populated from the published report.  Component and horizon data for minor components were copied from a corresponding major component.

All horizon fragments and surface fragments were assumed to be indurated if hardness was unknown.

All paralithic layers were assumed to be weakly cemented if hardness was unknown.

Generalized horizon layers (H1, H2, etc.) were subdivided into horizons based on the series description in the publication.

The landform for many map units was published as ""mountainsides and ridges""; these were populated as simply ""mountain slopes"".  Some map units were published as ""hills and ridges"";  these were judged to have too much relief for hills and were populated as ""mountain slopes"".",497363,1505753
03/24/2009 00:00:00,Edit notes,Component,NA,"In preparation for SSURGO certification, some assumptions had to be made to allow a fully populated and certifiable dataset:

Minor components were populated from the published report.  Component and horizon data for minor components were copied from a corresponding major component.

All horizon fragments and surface fragments were assumed to be indurated if hardness was unknown.

All paralithic layers were assumed to be weakly cemented if hardness was unknown.

Generalized horizon layers (H1, H2, etc.) were subdivided into horizons based on the series description in the publication.

The landform for many map units was published as ""mountainsides and ridges""; these were populated as simply ""mountain slopes"".  Some map units were published as ""hills and ridges"";  these were judged to have too much relief for hills and were populated as ""mountain slopes"".",497364,1505754
03/24/2009 00:00:00,Edit notes,Component,NA,"In preparation for SSURGO certification, some assumptions had to be made to allow a fully populated and certifiable dataset:

Minor components were populated from the published report.  Component and horizon data for minor components were copied from a corresponding major component.

All horizon fragments and surface fragments were assumed to be indurated if hardness was unknown.

All paralithic layers were assumed to be weakly cemented if hardness was unknown.

Generalized horizon layers (H1, H2, etc.) were subdivided into horizons based on the series description in the publication.

The landform for many map units was published as ""mountainsides and ridges""; these were populated as simply ""mountain slopes"".  Some map units were published as ""hills and ridges"";  these were judged to have too much relief for hills and were populated as ""mountain slopes"".",497365,1505755
